time_s,cpu_percent,rss_mb
5.001,11.70,353.6
5.101,13.68,354.1
5.201,11.71,354.2
5.301,11.75,353.7
5.401,13.64,353.6
5.501,11.74,353.9
5.601,11.71,353.6
5.701,13.68,353.7
5.801,11.72,353.7
5.901,13.61,354.3
6.001,11.72,354.0
6.101,13.69,353.6
6.201,11.72,353.7
6.301,11.70,353.7
6.401,13.70,354.8
6.501,11.68,354.4
6.600,11.79,354.1
6.700,13.72,354.0
6.801,11.64,353.7
6.900,13.75,353.7
7.000,11.72,353.7
7.101,15.50,354.1
7.201,11.74,353.6
7.300,11.78,353.7
7.400,13.65,353.6
7.500,13.75,353.8
7.600,11.66,353.7
7.700,13.65,353.8
7.801,13.61,353.6
7.900,13.79,353.7
8.000,11.68,353.6
8.101,11.76,353.8
8.201,13.61,353.6
8.301,11.69,353.6
8.401,13.62,353.7
8.501,11.81,353.6
8.601,11.71,353.6
8.701,13.66,354.1
8.800,11.76,354.1
8.901,11.68,353.7
9.001,11.71,353.6
9.101,11.72,353.7
9.201,13.69,353.6
9.301,11.61,353.7
9.401,13.74,353.7
9.501,11.80,353.8
9.601,15.53,354.1
9.701,11.74,353.7
9.801,11.74,353.7
9.900,13.75,354.4
10.000,11.69,353.9
10.100,13.65,354.1
10.200,11.72,353.9
10.301,11.71,353.8
10.400,13.68,353.7
10.501,11.70,353.7
10.600,11.76,353.9
10.701,13.64,353.7
10.801,11.70,353.7
10.901,13.69,353.7
11.000,11.78,353.7
11.101,13.56,354.2
11.201,13.53,354.7
11.301,13.79,354.3
11.400,13.76,353.8
11.501,11.64,354.2
11.601,13.66,353.7
11.700,11.85,354.1
11.801,12.71,353.8
11.901,14.75,354.2
12.001,11.69,353.8
12.101,15.56,353.8
12.200,11.86,353.8
12.301,11.64,354.1
12.401,13.69,353.7
12.501,11.72,353.7
12.600,11.72,354.2
12.700,13.69,353.8
12.801,11.65,353.7
12.901,13.68,353.9
13.001,11.69,353.8
13.100,11.89,354.0
13.201,15.44,353.7
13.301,11.78,353.8
13.400,13.71,353.7
13.500,13.64,354.8
13.601,11.65,354.2
13.701,13.72,353.8
13.801,11.70,354.1
13.901,13.70,353.7
14.001,11.70,353.7
14.101,13.64,354.1
14.201,11.78,353.7
14.301,11.66,354.4
14.401,13.71,354.4
14.501,11.72,353.7
14.601,11.71,353.8
14.701,13.64,353.7
14.801,11.70,354.3
14.900,13.56,353.7
15.000,11.93,353.7
15.101,11.66,354.2
15.201,11.70,354.2
15.301,11.75,353.8
15.401,15.64,353.7
15.501,11.62,354.8
15.600,11.82,354.2
15.700,15.61,353.7
15.800,11.71,353.7
15.901,13.64,353.7
16.001,13.62,354.3
16.101,13.70,353.8
16.201,11.75,353.7
16.301,11.65,354.7
16.400,13.81,353.7
16.501,11.64,353.7
16.601,13.62,354.2
16.701,11.75,354.5
16.801,13.66,354.8
16.901,13.69,353.8
17.001,9.76,354.7
17.101,13.64,354.2
17.201,11.69,353.8
17.301,11.75,353.8
17.401,13.71,354.3
17.501,11.61,353.7
17.601,13.74,353.7
17.701,11.80,353.7
17.801,11.70,353.7
17.901,13.64,353.8
18.001,11.74,353.7
18.101,13.66,354.2
18.201,11.71,353.7
18.301,11.70,353.8
18.400,13.78,354.1
18.500,11.56,353.7
18.600,13.76,353.7
18.700,11.76,353.8
18.801,13.61,353.7
18.901,13.69,354.4
19.000,11.75,353.8
19.101,13.66,353.7
19.200,11.72,353.8
19.301,11.71,353.7
19.400,13.74,353.7
19.500,13.51,353.8
19.600,11.85,353.7
19.700,13.62,354.1
19.800,11.71,354.7
19.900,13.71,353.8
20.001,11.66,353.8
20.101,13.66,353.8
20.201,11.72,354.6
20.301,11.70,353.8
20.400,13.78,353.8
20.501,11.51,353.8
20.601,13.80,353.7
20.700,11.78,353.8
20.801,11.69,353.7
20.901,15.39,353.7
21.001,11.91,353.7
21.101,13.65,354.4
21.201,11.70,353.8
21.301,11.75,353.7
21.401,13.65,353.7
21.501,13.53,353.7
21.601,13.80,354.2
21.701,11.78,353.7
21.801,11.50,354.8
21.901,13.89,353.7
22.001,11.74,353.8
22.101,13.59,354.2
22.201,11.80,353.7
22.301,11.68,353.8
22.401,13.66,353.7
22.500,13.66,353.8
22.601,11.76,353.9
22.701,13.69,353.8
22.801,11.66,353.8
22.900,13.79,353.8
23.001,11.66,353.7
23.101,13.57,353.7
23.201,11.79,353.7
23.301,11.71,353.8
23.400,13.78,353.8
23.500,13.40,353.7
23.600,11.91,353.7
23.701,13.57,353.7
23.801,11.82,353.7
23.900,13.69,353.9
24.001,11.69,353.7
24.100,11.75,353.7
24.201,13.60,353.8
24.301,11.71,354.3
24.400,13.75,353.7
24.500,13.55,353.7
24.601,13.71,353.7
24.701,11.72,353.7
24.801,11.70,353.7
24.900,13.79,353.8
25.001,11.62,353.7
25.101,13.68,353.7
25.201,11.71,354.8
25.301,13.66,353.7
25.401,13.68,353.7
25.501,11.57,353.8
25.600,11.94,354.2
25.701,15.54,353.8
25.801,11.71,354.0
25.901,13.68,353.7
26.001,11.69,353.7
26.101,13.69,354.8
26.201,11.71,354.7
26.301,11.72,353.8
26.401,13.70,353.7
26.501,11.41,354.6
26.601,13.99,353.8
26.700,11.80,353.7
26.801,11.65,353.7
26.901,13.69,353.8
27.001,11.70,353.7
27.100,11.80,354.2
27.201,13.61,353.8
27.301,11.72,353.7
27.401,13.65,353.8
27.500,13.59,353.8
27.601,15.61,354.2
27.700,13.25,353.8
27.801,11.88,353.7
27.901,11.41,353.8
28.001,12.32,353.8
28.100,15.56,354.2
28.200,9.84,353.8
28.301,11.69,353.7
28.401,15.60,354.8
28.500,11.39,353.9
28.600,15.59,354.2
28.700,12.21,354.8
28.801,11.72,354.8
28.901,13.55,353.8
29.001,11.78,353.7
29.101,13.50,354.2
29.201,11.94,353.7
29.301,13.66,353.7
29.401,13.68,354.4
29.501,11.56,354.8
29.601,13.84,353.8
29.701,11.71,353.7
29.801,11.70,353.7
29.901,15.41,353.7
30.000,11.94,353.7
30.100,13.66,353.8
30.200,13.66,354.8
30.301,11.72,353.7
30.400,15.60,353.8
30.501,11.59,353.7
30.601,13.79,353.8
30.700,11.76,354.1
30.801,11.72,353.7
30.901,13.68,354.8
31.001,11.71,353.8
31.100,11.74,354.2
31.201,15.61,353.8
31.301,11.69,353.8
31.400,13.75,353.8
31.500,11.57,353.7
31.601,11.84,353.7
31.700,13.70,353.8
31.801,11.68,354.8
31.901,13.68,353.8
32.001,11.71,353.7
32.101,15.62,353.8
32.201,11.74,353.7
32.301,11.70,353.7
32.401,13.66,353.9
32.501,11.60,353.8
32.601,15.76,354.2
32.701,11.76,353.7
32.801,11.70,353.7
32.900,13.70,353.8
33.000,11.72,353.7
33.101,15.56,353.8
33.200,13.74,353.8
33.300,11.74,353.8
33.400,13.68,353.7
33.501,11.55,353.8
33.600,15.78,354.2
33.701,11.70,353.8
33.801,11.72,353.7
33.901,13.70,353.7
34.001,11.72,354.7
34.101,13.68,353.9
34.201,11.72,353.7
34.301,11.71,353.7
34.401,13.71,353.8
34.501,11.57,354.3
34.601,11.85,354.2
34.701,13.68,353.7
34.801,11.71,353.7
34.901,15.64,353.7
35.001,11.69,353.8
35.101,11.79,354.1
35.201,13.61,353.8
35.301,11.69,354.2
35.401,13.68,353.9
35.500,11.68,353.8
35.601,11.82,353.8
35.701,13.65,353.8
35.801,11.69,354.1
35.900,13.78,353.8
36.001,11.64,354.8
36.101,11.74,353.8
36.201,13.66,353.7
36.301,11.70,353.8
36.400,13.74,353.8
36.501,11.55,353.8
36.601,15.72,354.2
36.700,11.81,353.7
36.801,11.66,353.8
36.901,13.70,354.1
37.001,11.70,353.8
37.101,15.61,354.1
37.201,11.74,353.7
37.301,11.70,354.5
37.401,13.68,353.7
37.501,11.61,353.8
37.600,11.88,354.2
37.701,15.57,353.7
37.801,11.80,353.7
37.900,13.69,353.7
38.001,11.62,354.8
38.101,13.69,353.7
38.201,11.72,353.7
38.301,11.68,354.6
38.401,15.66,353.7
38.501,11.57,353.7
38.601,11.88,354.2
38.701,13.69,353.7
38.801,11.71,353.7
38.901,15.62,353.7
39.001,11.69,354.2
39.100,11.79,353.7
39.200,13.69,353.8
39.301,11.65,353.7
39.401,13.69,354.1
39.501,11.59,353.8
39.601,11.82,354.2
39.701,13.68,354.8
39.801,11.71,353.8
39.901,13.74,354.8
40.001,11.71,353.9
40.101,15.60,354.4
40.201,11.74,353.8
40.300,11.72,353.7
40.401,13.71,354.4
40.500,11.59,353.9
40.601,11.84,353.9
40.700,15.64,353.8
40.800,11.70,353.9
40.901,13.41,353.9
41.001,11.90,353.8
41.100,13.72,354.0
41.200,11.70,354.1
41.301,11.72,354.8
41.401,11.72,353.8
41.501,11.62,353.8
41.601,11.84,353.8
41.700,13.75,353.9
41.801,11.61,353.8
41.901,15.64,353.8
42.001,11.70,353.8
42.101,13.68,353.9
42.201,13.68,354.9
42.301,11.66,353.8
42.401,13.75,353.8
42.501,11.60,353.9
42.601,11.82,354.2
42.701,15.64,353.9
42.801,11.69,354.0
42.901,13.70,353.9
43.001,11.72,353.8
43.100,11.76,353.8
43.200,15.62,353.9
43.301,11.70,354.3
43.401,13.64,353.9
43.501,11.68,353.8
43.601,13.78,353.8
43.701,13.65,354.7
43.801,11.69,353.9
43.901,13.69,353.9
44.001,11.71,353.9
44.101,11.72,354.2
44.201,15.64,353.8
44.301,11.70,353.8
44.400,13.78,353.8
44.501,11.56,353.8
44.601,11.81,353.8
44.701,13.66,353.9
44.801,11.74,353.8
44.900,13.75,354.2
45.001,11.64,353.8
45.101,15.59,354.2
45.200,11.76,354.9
45.300,11.74,353.8
45.400,13.69,353.8
45.501,11.53,354.6
45.600,11.91,353.8
45.701,13.64,354.6
45.801,11.71,354.4
45.901,13.69,354.2
46.001,11.71,353.9
46.101,13.65,354.3
46.200,11.80,353.8
46.300,11.71,353.8
46.400,13.68,354.8
46.501,11.54,354.6
46.601,11.82,353.8
46.701,13.70,353.8
46.801,11.72,353.8
46.901,13.65,353.8
47.000,11.76,354.6
47.101,15.54,354.2
47.200,11.80,354.4
47.300,11.72,353.8
47.401,15.51,353.8
47.501,11.65,353.8
47.601,11.80,354.2
47.701,13.68,354.5
47.800,11.76,354.8
47.900,13.66,354.0
48.000,11.71,354.6
48.100,13.66,354.2
48.200,11.70,354.3
48.301,11.70,354.4
48.401,13.68,353.9
48.500,13.61,353.9
48.601,11.74,354.2
48.701,13.69,353.8
48.801,11.72,353.8
48.901,13.66,353.9
49.001,11.74,353.8
49.100,11.76,353.8
49.200,13.71,353.8
49.301,9.70,354.4
49.401,13.70,353.9
49.500,13.57,353.8
49.600,9.84,354.2
49.700,13.68,353.8
49.801,11.64,353.8
49.900,13.76,353.8
50.000,11.71,354.7
50.100,11.69,353.8
50.200,13.72,353.8
50.301,11.68,353.9
50.401,13.60,353.9
50.501,11.68,353.8
50.601,11.80,354.2
50.701,13.66,354.1
50.801,11.74,353.8
50.901,13.65,354.9
51.001,11.71,353.8
51.100,11.76,354.9
51.200,13.70,353.8
51.301,11.69,353.9
51.400,13.72,353.8
51.501,11.59,353.9
51.601,11.78,354.0
51.701,13.69,353.8
51.801,11.71,353.8
51.901,13.69,353.9
52.001,11.72,353.8
52.101,13.59,354.6
52.200,11.85,353.8
52.300,11.66,353.8
52.400,13.69,353.8
52.500,11.62,354.9
52.600,15.62,354.2
52.701,13.65,354.9
52.801,13.68,353.8
52.900,13.74,353.9
53.001,11.64,353.9
53.101,13.66,354.2
53.201,11.78,354.1
53.301,11.72,353.9
53.401,13.66,354.3
53.501,11.22,353.8
53.601,12.34,353.9
53.701,13.69,353.8
