time_s,cpu_percent,rss_mb
5.000,11.79,354.9
5.100,13.65,355.2
5.200,15.65,354.8
5.300,11.70,354.9
5.400,11.70,355.9
5.501,13.64,354.9
5.601,11.68,355.1
5.701,13.75,354.8
5.801,11.74,354.9
5.900,13.68,355.4
6.000,11.76,355.0
6.100,11.71,355.7
6.200,13.68,354.8
6.300,11.72,354.8
6.400,11.72,354.8
6.500,15.55,354.8
6.600,11.74,354.9
6.701,13.62,355.1
6.800,11.79,354.8
6.900,11.66,354.8
7.001,15.57,355.9
7.101,11.72,355.1
7.201,13.68,354.9
7.301,11.64,354.9
7.400,13.86,354.8
7.501,11.64,355.9
7.601,11.68,355.9
7.700,13.81,354.9
7.801,13.61,354.8
7.900,13.72,354.8
8.000,11.71,354.9
8.100,11.72,354.8
8.201,15.49,354.9
8.301,11.79,354.9
8.400,13.68,355.9
8.500,11.74,354.9
8.601,11.66,354.8
8.700,15.75,354.9
8.800,11.70,354.8
8.901,13.60,354.8
9.000,11.80,354.8
9.100,13.62,355.8
9.200,13.69,354.9
9.301,13.62,354.9
9.401,13.69,354.8
9.500,11.72,354.8
9.601,11.70,354.8
9.700,13.74,354.8
9.800,11.69,354.8
9.901,13.53,354.9
10.000,11.88,354.8
10.100,13.65,355.0
10.201,15.47,354.9
10.300,11.84,354.8
10.400,11.72,354.8
10.500,13.64,355.0
10.600,11.71,354.8
10.700,13.71,354.8
10.800,11.71,354.8
10.900,15.62,355.7
11.000,13.64,355.8
11.100,11.74,355.1
11.201,13.60,355.1
11.300,11.76,354.9
11.400,15.62,354.8
11.500,11.72,354.9
11.600,11.70,355.3
11.700,13.70,355.7
11.801,13.60,354.9
11.901,15.62,355.9
12.001,13.68,355.5
12.100,11.80,354.9
12.201,13.55,354.9
12.301,11.71,354.8
12.400,13.80,355.2
12.500,11.71,354.9
12.600,11.69,355.1
12.701,15.50,354.8
12.801,11.70,355.1
12.901,13.76,354.9
13.001,13.68,355.0
13.100,11.65,354.8
13.200,13.76,355.1
13.300,11.72,354.9
13.401,13.64,354.8
13.501,11.69,354.8
13.600,11.78,355.6
13.700,15.65,354.8
13.801,11.61,354.8
13.901,13.76,355.9
14.000,11.79,354.8
14.100,15.59,355.0
14.200,13.71,354.8
14.300,13.64,354.9
14.401,11.51,355.9
14.500,11.96,354.8
14.601,15.56,354.8
14.700,13.72,355.6
14.800,11.69,355.6
14.900,13.68,355.0
15.001,11.55,354.9
15.100,11.97,354.8
15.201,13.50,354.9
15.301,11.78,355.8
15.401,13.59,355.9
15.500,11.84,355.3
15.600,13.68,355.1
15.701,15.43,354.9
15.800,11.69,354.8
15.901,13.69,355.6
16.000,11.81,354.8
16.100,11.62,355.9
16.200,13.88,354.8
16.300,11.76,354.8
16.401,11.57,355.9
16.500,11.79,354.8
16.601,11.62,354.8
16.700,13.78,355.9
16.800,11.75,354.8
16.901,15.61,354.8
17.001,13.68,354.8
17.101,11.70,354.8
17.201,13.64,355.9
17.301,13.71,354.8
17.401,13.57,354.9
17.500,13.80,354.8
17.600,11.72,354.8
17.700,13.69,354.9
17.800,11.69,355.9
17.900,15.59,354.9
18.000,11.72,354.9
18.101,11.65,355.8
18.200,13.74,354.8
18.300,11.68,354.9
18.400,13.76,354.9
18.500,11.71,354.8
18.600,11.70,354.9
18.701,13.61,355.0
18.800,11.81,354.9
18.901,13.60,354.9
19.000,11.78,354.9
19.101,11.60,354.9
19.200,15.81,354.8
19.301,13.53,355.4
19.400,13.80,354.9
19.500,11.72,354.9
19.600,11.69,354.9
19.700,13.71,354.9
19.800,11.70,355.0
19.900,13.70,354.9
20.000,11.68,354.9
20.100,11.75,355.1
20.200,15.65,354.8
20.300,11.69,354.9
20.400,13.68,354.8
20.500,13.65,354.8
20.601,11.62,354.8
20.700,13.79,354.8
20.801,11.69,355.9
20.900,13.74,355.5
21.000,11.75,354.9
21.100,11.71,355.8
21.200,13.68,354.9
21.300,11.71,355.4
21.401,13.61,355.8
21.501,11.71,354.9
21.600,11.80,354.8
21.700,13.68,354.8
21.800,11.64,354.8
21.900,13.76,354.8
22.001,15.45,354.9
22.100,11.79,355.4
22.201,13.55,355.5
22.300,11.84,354.9
22.400,11.71,354.8
22.500,11.72,354.9
22.601,11.61,354.8
22.701,13.68,354.8
22.801,11.72,354.9
22.901,13.68,354.8
23.001,11.72,355.4
23.101,11.68,355.6
23.201,15.66,354.9
23.301,11.74,355.0
23.400,13.72,354.8
23.501,11.69,355.5
23.600,11.76,354.9
23.700,13.72,354.8
23.800,11.69,354.9
23.901,15.54,354.8
24.000,11.82,354.9
24.100,11.71,354.8
24.201,13.53,354.8
24.300,11.81,354.9
24.400,13.68,354.9
24.501,11.66,354.8
24.600,11.75,355.3
24.700,13.71,354.8
24.801,11.62,354.9
24.901,13.62,354.9
25.001,11.79,354.8
25.100,11.78,354.8
25.201,13.55,354.9
25.301,11.76,354.9
25.401,13.66,355.9
25.501,13.64,355.6
25.601,11.72,355.9
25.701,15.65,354.8
25.801,11.70,354.9
25.900,13.81,354.9
26.000,11.70,355.6
26.101,13.59,355.9
26.200,13.76,354.8
26.301,11.66,354.8
26.401,13.66,354.8
26.500,11.80,354.8
26.600,11.72,354.8
26.701,13.57,354.8
26.801,11.71,355.3
26.900,15.74,354.9
27.000,11.69,354.8
27.101,11.66,355.9
27.201,13.68,355.3
27.301,11.69,354.9
27.401,13.69,355.3
27.501,11.80,354.8
27.601,11.68,354.8
27.701,13.64,354.9
27.800,11.81,354.9
27.901,13.56,355.9
28.001,11.72,355.1
28.100,11.82,354.9
28.201,13.56,354.9
28.300,11.78,355.7
28.401,13.62,354.8
28.501,11.71,354.9
28.601,11.72,354.8
28.700,13.78,354.8
28.801,13.59,355.8
28.900,13.75,354.9
29.001,11.66,354.8
29.101,11.70,355.9
29.200,13.71,354.8
29.301,11.71,354.8
29.400,13.74,354.9
29.500,11.68,354.8
29.601,13.54,354.8
29.700,15.86,354.8
29.800,11.75,354.8
29.900,13.64,354.9
30.000,11.69,355.8
30.100,11.71,356.0
30.200,13.72,354.8
30.300,11.68,354.8
30.400,13.68,356.0
30.500,13.70,354.8
30.601,11.64,354.8
30.701,13.68,356.0
30.801,11.72,354.9
30.901,13.66,354.8
31.001,11.72,354.8
31.101,11.70,354.9
31.201,15.60,354.8
31.301,11.74,354.8
31.401,13.66,355.5
31.501,11.78,354.8
31.601,11.68,355.8
31.701,13.76,355.2
31.801,11.62,354.8
31.901,15.74,355.9
32.001,11.72,354.9
32.100,11.72,354.9
32.200,13.65,355.5
32.301,11.49,354.9
32.401,13.95,354.8
32.500,13.72,354.8
32.600,11.70,355.0
32.700,13.70,355.1
32.800,11.72,354.9
32.901,13.57,355.0
33.001,11.71,355.8
33.101,13.78,354.8
33.201,13.64,354.9
33.301,11.75,354.8
33.400,13.69,354.8
33.500,13.64,354.9
33.600,11.75,354.9
33.700,13.68,356.0
33.801,11.66,355.5
33.900,11.76,355.9
34.000,13.71,355.0
34.100,11.71,354.9
34.200,13.66,355.3
34.300,11.70,354.9
34.401,13.59,354.8
34.501,11.71,356.0
34.601,11.75,354.8
34.700,17.70,354.8
34.800,13.65,355.3
34.900,15.57,356.0
35.001,11.75,354.8
35.100,11.78,354.8
35.200,13.61,356.0
35.301,11.66,355.8
35.400,11.78,355.6
35.501,13.60,354.8
35.600,11.79,354.8
35.700,13.71,354.9
35.800,11.68,354.8
35.901,13.61,354.8
36.001,11.76,354.9
36.100,11.70,356.0
36.201,13.62,354.8
36.301,11.68,354.8
36.401,13.71,354.9
36.501,11.72,354.9
36.601,11.71,354.9
36.701,15.65,354.8
36.800,11.78,354.9
36.900,11.75,354.9
37.001,15.61,354.8
37.101,13.62,354.9
37.201,13.65,354.9
37.300,11.76,354.9
37.400,13.66,355.3
37.501,13.60,355.8
37.600,11.80,354.9
37.700,13.70,354.9
37.801,11.39,354.8
37.900,12.04,354.9
38.000,13.66,354.9
38.100,13.69,354.9
38.200,13.62,356.0
38.301,11.70,354.9
38.401,13.66,355.8
38.500,11.81,354.8
38.600,11.65,355.8
38.700,13.66,355.9
38.801,11.62,355.3
38.900,13.81,355.2
39.000,11.69,354.8
39.100,11.76,354.9
39.200,13.61,354.8
39.301,13.69,354.8
39.400,15.69,354.9
39.500,11.70,354.8
39.600,11.72,354.9
39.700,15.65,354.9
39.801,11.61,354.9
39.901,13.68,355.7
40.000,11.80,354.8
40.101,11.64,354.9
40.201,13.68,354.8
40.301,13.66,354.8
40.400,11.80,354.9
40.500,13.66,354.8
40.600,11.72,354.9
40.701,15.56,354.9
40.801,13.65,355.9
40.901,13.66,354.9
41.001,13.66,354.9
41.101,12.34,355.3
41.201,11.95,354.9
41.301,10.32,354.8
41.400,13.12,355.0
41.501,10.40,354.8
41.600,15.45,354.8
41.701,9.90,354.8
41.804,9.90,354.9
41.901,8.91,355.5
42.022,7.26,354.8
42.100,18.15,355.3
42.201,8.19,354.8
42.300,11.41,354.9
42.401,12.22,354.8
42.501,12.07,354.8
42.601,12.01,355.4
42.701,13.75,354.9
42.801,11.69,354.9
42.901,13.68,354.8
43.001,11.74,354.8
43.101,13.60,355.0
43.201,13.68,356.0
43.301,11.72,354.8
43.401,13.68,354.9
43.500,11.82,355.4
43.600,9.78,354.8
43.700,13.69,354.8
43.800,11.69,356.0
43.900,15.68,355.1
44.001,11.66,354.8
44.101,9.74,354.8
44.200,13.78,354.8
44.300,14.29,354.9
44.400,10.28,354.9
44.500,9.54,354.9
44.600,11.96,355.3
44.700,10.07,354.9
44.800,11.74,354.8
44.900,15.56,354.9
45.000,1.98,354.9
45.101,11.69,355.7
45.201,11.70,355.5
45.300,5.78,354.9
45.401,15.61,355.1
45.501,10.38,354.9
45.600,12.99,355.5
45.701,12.34,354.9
