time_s,cpu_percent,rss_mb
5.000,11.72,348.6
5.101,13.70,349.6
5.201,13.68,348.5
5.301,11.75,348.7
5.401,13.68,349.2
5.501,9.76,348.6
5.600,11.78,348.5
5.701,15.57,348.5
5.801,11.71,349.0
5.901,15.61,349.6
6.000,11.74,349.3
6.100,13.72,348.6
6.201,13.61,348.5
6.301,11.69,349.5
6.400,13.78,348.5
6.500,11.74,348.5
6.600,11.66,348.6
6.700,13.71,349.1
6.800,11.74,348.5
6.900,15.60,349.2
7.000,11.71,349.4
7.100,11.72,349.5
7.201,13.65,348.5
7.301,11.65,349.6
7.401,15.66,348.6
7.501,11.65,348.6
7.601,11.70,348.6
7.701,15.70,348.9
7.800,11.74,349.2
7.900,15.70,348.5
8.000,11.74,348.7
8.100,11.72,348.5
8.200,15.61,348.5
8.300,11.72,348.6
8.400,13.70,348.6
8.500,11.65,349.0
8.600,13.66,348.5
8.700,13.75,348.5
8.801,11.65,349.3
8.901,15.55,348.6
9.001,11.75,348.6
9.100,11.76,348.9
9.201,15.57,348.6
9.301,11.72,348.6
9.400,13.70,348.5
9.501,15.61,348.6
9.601,11.72,348.5
9.701,15.60,348.6
9.800,13.75,348.5
9.900,13.66,349.0
10.001,11.46,348.5
10.101,13.91,348.5
10.200,15.69,348.6
10.300,11.72,348.5
10.400,13.68,348.5
10.501,11.66,348.5
10.601,11.69,349.6
10.701,15.61,348.6
10.800,11.79,348.5
10.900,13.70,348.6
11.001,11.64,349.3
11.101,11.71,348.6
11.201,13.69,348.5
11.300,11.78,348.6
11.400,13.66,348.5
11.501,11.62,349.2
11.600,11.84,348.6
11.700,13.65,348.6
11.800,11.75,349.1
11.901,13.59,349.6
12.000,11.78,348.6
12.100,11.71,349.0
12.200,13.66,348.6
12.300,11.75,348.5
12.401,13.57,348.5
12.501,11.71,348.6
12.600,11.79,348.5
12.700,13.64,349.1
12.800,13.68,348.9
12.900,15.62,348.6
13.000,11.71,349.1
13.100,11.74,348.6
13.201,13.56,348.6
