pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,14285.852214,14285.864212,0.011998,11.998
1,14287.850324,14287.868284,0.017961,17.961
2,14289.854840,14289.961832,0.106992,106.992
3,14291.851756,14291.869735,0.017978,17.978
4,14293.850786,14293.957922,0.107136,107.136
5,14295.851787,14295.959293,0.107506,107.506
6,14297.849119,14297.867166,0.018047,18.047
7,14299.853514,14299.961371,0.107857,107.857
8,14301.851317,14301.869329,0.018012,18.012
9,14303.849936,14303.867960,0.018024,18.024
10,14305.849236,14305.957246,0.108010,108.010
11,14307.854180,14307.866174,0.011994,11.994
12,14309.851887,14309.959513,0.107626,107.626
13,14311.855064,14311.957051,0.101987,101.987
14,14313.852943,14313.864916,0.011974,11.974
15,14315.851523,14315.959022,0.107498,107.498
16,14317.850066,14317.868059,0.017993,17.993
17,14319.851941,14319.869927,0.017986,17.986
18,14321.851377,14321.959111,0.107735,107.735
19,14323.852055,14323.864032,0.011978,11.978
20,14325.850151,14325.958086,0.107935,107.935
21,14327.849847,14327.957820,0.107973,107.973
22,14329.849974,14329.867953,0.017979,17.979
23,14331.854305,14331.961172,0.106868,106.868
24,14333.849324,14333.867302,0.017978,17.978
25,14335.849358,14335.867369,0.018010,18.010
26,14337.850051,14337.958036,0.107986,107.986
27,14339.850409,14339.868419,0.018010,18.010
28,14341.850254,14341.958352,0.108097,108.097
29,14343.854595,14343.955681,0.101086,101.086
30,14345.852034,14345.864018,0.011983,11.983
31,14347.854279,14347.961345,0.107066,107.066
32,14349.852236,14349.864234,0.011998,11.998
