pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,14809.851879,14809.863790,0.011911,11.911
1,14811.849606,14811.957594,0.107988,107.988
2,14813.854013,14813.866025,0.012012,12.012
3,14815.849181,14815.867164,0.017983,17.983
4,14817.852082,14817.960098,0.108016,108.016
5,14819.851211,14819.863193,0.011983,11.983
6,14821.850029,14821.957517,0.107488,107.488
7,14823.849333,14823.957276,0.107944,107.944
8,14825.849138,14825.867159,0.018021,18.021
9,14827.851865,14827.959442,0.107578,107.578
10,14829.851167,14829.869155,0.017988,17.988
11,14831.852246,14831.864210,0.011964,11.964
12,14833.849558,14833.957567,0.108009,108.009
13,14835.851560,14835.869650,0.018089,18.089
14,14837.853383,14837.961398,0.108016,108.016
15,14839.853542,14839.961496,0.107954,107.954
16,14841.849149,14841.867142,0.017994,17.994
17,14843.851395,14843.959434,0.108039,108.039
18,14845.849362,14845.867374,0.018012,18.012
19,14847.853771,14847.865689,0.011918,11.918
20,14849.853149,14849.961081,0.107932,107.932
21,14851.853313,14851.865219,0.011906,11.906
22,14853.853336,14853.961086,0.107751,107.751
23,14855.851567,14855.958419,0.106852,106.852
24,14857.850350,14857.868293,0.017943,17.943
25,14859.854538,14859.962044,0.107506,107.506
26,14861.854440,14861.866461,0.012022,12.022
27,14863.850335,14863.868337,0.018002,18.002
28,14865.853710,14865.961185,0.107474,107.474
29,14867.854383,14867.866389,0.012006,12.006
30,14869.849174,14869.963238,0.114063,114.063
31,14871.852853,14871.960371,0.107519,107.519
32,14873.854956,14873.866948,0.011992,11.992
33,14875.851166,14875.958348,0.107182,107.182
