pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,14635.851789,14635.958776,0.106987,106.987
1,14637.854420,14637.866453,0.012033,12.033
2,14639.852336,14639.864267,0.011930,11.930
3,14641.854119,14641.961598,0.107479,107.479
4,14643.851714,14643.869713,0.017999,17.999
5,14645.854302,14645.961764,0.107461,107.461
6,14647.851928,14647.959905,0.107978,107.978
7,14649.854047,14649.866085,0.012038,12.038
8,14651.854107,14651.961542,0.107435,107.435
9,14653.851656,14653.869685,0.018029,18.029
10,14655.854042,14655.866080,0.012039,12.039
11,14657.853876,14657.956051,0.102176,102.176
12,14659.851738,14659.869769,0.018030,18.030
13,14661.854191,14661.961666,0.107475,107.475
14,14663.853777,14663.955416,0.101639,101.639
15,14665.850370,14665.868315,0.017945,17.945
16,14667.851588,14667.959674,0.108086,108.086
17,14669.852468,14669.864477,0.012008,12.008
18,14671.851786,14671.863765,0.011979,11.979
19,14673.853088,14673.960623,0.107534,107.534
20,14675.851966,14675.869975,0.018009,18.009
21,14677.853768,14677.961770,0.108002,108.002
22,14679.850266,14679.957510,0.107244,107.244
23,14681.851573,14681.869484,0.017910,17.910
24,14683.849053,14683.957035,0.107982,107.982
25,14685.852574,14685.864576,0.012002,12.002
26,14687.853602,14687.865590,0.011988,11.988
27,14689.851958,14689.960010,0.108051,108.051
28,14691.852062,14691.863993,0.011931,11.931
29,14693.849675,14693.957700,0.108025,108.025
30,14695.852329,14695.960357,0.108028,108.028
31,14697.849685,14697.867684,0.018000,18.000
32,14699.854019,14699.961786,0.107768,107.768
