pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,14373.849453,14373.957409,0.107956,107.956
1,14375.851246,14375.959312,0.108066,108.066
2,14377.853587,14377.865581,0.011994,11.994
3,14379.851409,14379.959541,0.108131,108.131
4,14381.849286,14381.867252,0.017966,17.966
5,14383.849604,14383.867616,0.018011,18.011
6,14385.853341,14385.961542,0.108201,108.201
7,14387.853325,14387.865339,0.012015,12.015
8,14389.849574,14389.957586,0.108012,108.012
9,14391.851219,14391.959272,0.108053,108.053
10,14393.854395,14393.866464,0.012069,12.069
11,14395.852217,14395.959481,0.107264,107.264
12,14397.849337,14397.867427,0.018091,18.091
13,14399.853485,14399.865471,0.011986,11.986
14,14401.854152,14401.956174,0.102022,102.022
15,14403.851436,14403.863361,0.011925,11.925
16,14405.849529,14405.957538,0.108009,108.009
17,14407.851402,14407.959295,0.107893,107.893
18,14409.853131,14409.865201,0.012070,12.070
19,14411.851547,14411.959591,0.108044,108.044
20,14413.849102,14413.867161,0.018059,18.059
21,14415.853316,14415.865295,0.011979,11.979
22,14417.853630,14417.961736,0.108106,108.106
23,14419.850598,14419.868566,0.017969,17.969
24,14421.854222,14421.962199,0.107978,107.978
25,14423.853210,14423.960964,0.107754,107.754
26,14425.852333,14425.870313,0.017980,17.980
27,14427.853452,14427.961311,0.107859,107.859
28,14429.850239,14429.868205,0.017967,17.967
29,14431.851407,14431.869467,0.018060,18.060
30,14433.849431,14433.957435,0.108003,108.003
31,14435.853257,14435.865301,0.012044,12.044
32,14437.850221,14437.957606,0.107385,107.385
