pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,14459.850547,14459.958546,0.107999,107.999
1,14461.849698,14461.866743,0.017046,17.046
2,14463.849540,14463.867491,0.017951,17.951
3,14465.853429,14465.961694,0.108265,108.265
4,14467.853633,14467.865586,0.011953,11.953
5,14469.853222,14469.961161,0.107939,107.939
6,14471.851742,14471.958958,0.107215,107.215
7,14473.849523,14473.867566,0.018043,18.043
8,14475.853595,14475.961559,0.107964,107.964
9,14477.853594,14477.865584,0.011990,11.990
10,14479.851529,14479.863587,0.012058,12.058
11,14481.853566,14481.961528,0.107962,107.962
12,14483.853267,14483.865305,0.012038,12.038
13,14485.850920,14485.958618,0.107698,107.698
14,14487.849638,14487.957709,0.108071,108.071
15,14489.849181,14489.867255,0.018073,18.073
16,14491.849435,14491.957601,0.108166,108.166
17,14493.851524,14493.869551,0.018027,18.027
18,14495.853384,14495.865393,0.012009,12.009
19,14497.853407,14497.961475,0.108067,108.067
20,14499.852595,14499.870084,0.017489,17.489
21,14501.849609,14501.957322,0.107713,107.713
22,14503.851050,14503.958547,0.107497,107.497
23,14505.852311,14505.863776,0.011464,11.464
24,14507.849257,14507.957139,0.107882,107.882
25,14509.852228,14509.869732,0.017504,17.504
26,14511.851454,14511.869432,0.017978,17.978
27,14513.849777,14513.957526,0.107749,107.749
28,14515.853885,14515.865958,0.012073,12.073
29,14517.854156,14517.961684,0.107528,107.528
30,14519.851721,14519.959425,0.107704,107.704
31,14521.852352,14521.863814,0.011462,11.462
32,14523.851663,14523.959674,0.108011,108.011
33,14525.851506,14525.869495,0.017989,17.989
