time_s,cpu_percent,rss_mb
5.001,11.71,349.2
5.101,11.71,350.1
5.201,15.66,349.0
5.301,11.53,349.1
5.401,15.84,349.1
5.501,11.74,349.0
5.601,11.71,350.1
5.700,15.78,349.0
5.800,11.70,349.1
5.901,13.61,349.4
6.000,11.79,349.0
6.100,11.71,349.0
6.200,13.66,349.1
6.301,11.69,349.0
6.401,13.65,349.0
6.501,13.68,349.0
6.601,11.69,349.0
6.700,15.71,349.0
6.800,11.55,349.1
6.901,13.82,349.1
7.001,11.74,349.0
7.100,13.72,349.1
7.200,13.69,349.3
7.300,11.71,350.0
7.401,13.61,350.1
7.500,11.72,349.5
7.600,11.70,348.3
7.700,13.54,348.3
7.801,11.84,348.3
7.901,13.68,348.3
8.001,13.68,348.3
8.101,11.72,348.3
8.200,11.76,348.3
8.300,11.71,349.4
8.400,13.71,349.1
8.500,11.71,348.4
8.601,11.64,348.3
8.701,13.70,348.4
8.801,11.71,349.1
8.900,13.71,348.3
9.001,13.65,348.4
9.101,11.74,348.3
9.200,13.70,349.4
9.300,11.72,348.3
9.400,13.66,348.5
9.500,11.70,349.4
9.600,11.74,348.4
9.701,13.62,348.6
9.800,11.76,348.3
9.901,13.61,348.3
10.001,11.72,348.8
10.101,9.78,348.3
10.200,13.69,349.4
10.300,11.74,348.4
10.401,15.54,349.4
10.501,11.72,348.9
10.601,11.72,348.3
10.700,13.75,348.3
10.801,11.66,348.3
10.901,13.65,348.9
11.001,11.71,349.2
11.101,11.76,348.9
11.200,13.75,348.4
11.300,11.69,349.4
11.400,11.75,348.4
11.500,13.64,349.4
11.600,13.68,349.4
11.700,13.70,348.4
11.801,9.69,348.3
11.900,13.75,348.3
12.001,13.62,348.4
12.101,11.72,348.3
12.201,15.60,348.3
12.301,11.72,348.3
12.401,13.68,349.4
12.501,11.74,348.3
12.601,11.71,348.5
12.701,13.65,348.3
12.801,11.70,348.3
12.901,13.71,348.3
13.001,11.72,348.4
13.101,11.70,348.4
13.201,13.68,349.0
13.301,11.72,348.3
13.401,13.69,348.3
13.501,13.68,348.4
13.601,11.71,348.4
13.701,13.65,348.3
13.801,11.74,348.4
13.900,13.75,348.3
14.000,11.72,349.4
14.100,11.72,348.3
14.201,13.61,348.4
14.301,11.72,348.4
14.401,13.65,348.3
14.501,11.74,348.3
14.601,11.71,348.3
14.701,13.69,348.4
14.800,11.79,348.4
14.900,13.66,348.3
15.001,13.60,348.6
15.100,11.75,348.4
15.201,13.66,348.3
15.300,11.74,349.4
15.401,13.66,348.4
15.500,11.74,348.3
15.600,11.70,348.3
15.700,15.66,348.4
15.800,11.66,348.4
15.901,13.61,348.4
16.001,11.74,348.3
16.101,11.72,348.4
16.201,13.65,348.3
16.301,11.74,348.4
16.400,13.79,348.6
16.501,11.68,348.3
16.600,13.75,348.3
16.700,13.66,348.3
16.800,11.71,349.2
16.901,13.60,348.3
17.000,13.76,348.4
17.100,11.69,348.3
17.200,13.68,348.4
17.301,11.68,348.4
17.400,13.70,348.3
17.501,11.68,348.4
17.601,11.71,348.4
17.700,13.71,348.3
17.800,11.72,348.8
17.900,13.68,348.3
18.000,13.68,348.3
18.100,13.70,348.3
18.200,13.65,348.3
18.300,11.70,348.3
18.400,13.69,348.3
18.500,11.74,348.3
18.601,11.66,348.4
18.701,13.66,348.4
18.801,11.70,348.3
18.901,11.72,348.3
19.000,11.79,348.4
19.100,13.65,348.3
19.200,13.68,348.4
19.301,13.60,348.3
19.401,13.66,349.2
19.501,13.72,348.3
19.601,11.72,348.4
19.701,13.68,348.3
19.800,11.76,348.3
19.900,11.74,348.4
20.000,13.65,349.1
20.101,11.65,348.7
20.200,13.78,348.4
20.301,11.61,348.3
20.401,13.64,349.2
20.501,11.75,348.4
20.601,11.71,348.4
20.701,13.68,348.3
20.801,11.70,349.4
20.901,13.71,348.4
21.001,11.71,348.4
21.101,11.71,349.4
21.201,13.68,348.3
21.301,11.71,349.4
21.401,15.65,348.3
21.501,11.70,348.3
21.600,13.70,348.3
21.701,13.70,348.4
21.801,11.70,349.4
21.901,13.64,348.5
22.000,11.85,348.7
22.101,13.54,348.9
22.201,13.69,348.3
22.300,15.76,348.4
22.400,13.65,348.3
22.500,9.78,348.3
22.601,9.71,348.3
22.700,13.75,348.3
22.800,11.66,349.4
22.901,13.68,348.4
23.001,11.65,348.3
23.101,13.70,348.4
23.200,13.76,349.4
23.300,11.71,348.4
23.400,11.74,348.5
23.501,13.60,348.4
23.601,11.72,349.5
23.700,13.71,348.4
23.800,11.71,349.5
23.901,13.60,349.5
24.000,11.78,348.5
24.100,11.75,348.4
24.200,13.62,348.4
24.300,13.50,348.5
24.401,13.79,348.4
24.501,11.70,349.5
24.600,11.81,348.4
24.701,13.62,348.4
24.801,13.66,348.4
24.901,13.66,348.4
25.001,11.72,348.7
25.101,11.72,348.5
25.201,13.64,348.5
25.300,11.81,348.4
25.401,13.62,348.9
25.501,13.69,348.4
25.601,11.70,349.5
25.701,13.68,348.4
25.800,11.60,349.5
25.900,13.89,348.4
26.000,11.74,348.5
26.101,11.64,348.5
26.200,13.76,348.4
26.300,11.72,348.7
26.400,13.66,348.4
26.501,13.60,348.5
26.600,11.79,348.8
26.700,13.66,348.4
26.800,11.74,348.4
26.901,13.57,348.4
27.000,11.75,349.2
27.100,11.74,348.4
27.200,13.68,348.5
27.301,11.66,348.4
27.401,13.68,348.7
27.501,11.71,348.4
27.601,11.75,348.7
27.700,13.74,348.5
27.800,13.64,348.4
27.900,11.71,348.6
28.001,13.60,349.1
28.101,9.79,348.6
28.201,13.65,349.5
28.300,11.78,348.4
28.401,13.61,348.4
28.501,11.75,348.5
28.601,11.68,348.4
28.701,13.68,348.4
28.800,11.79,348.4
28.900,11.74,348.4
29.000,13.66,348.4
29.101,13.61,348.5
29.200,15.70,348.5
29.300,11.71,348.4
29.400,13.68,348.5
29.500,11.70,348.9
29.601,11.68,348.4
29.701,13.70,348.5
29.800,11.78,349.5
29.900,11.69,349.5
30.001,11.68,348.5
30.101,11.72,348.4
30.200,13.70,348.4
30.301,13.61,348.4
30.401,13.69,348.4
30.500,13.71,349.5
30.600,11.74,348.4
30.700,13.66,348.6
30.800,11.74,348.4
30.901,11.70,348.4
31.001,13.59,348.8
31.100,11.80,348.4
31.201,13.56,348.5
31.300,11.84,348.4
31.401,13.55,349.4
31.500,13.75,349.2
31.600,11.71,349.5
31.700,13.69,348.5
31.801,11.65,348.4
31.901,13.69,349.5
32.001,11.74,348.4
32.101,11.68,348.4
32.200,13.78,348.5
32.300,11.69,348.7
32.400,13.65,349.5
32.501,11.64,349.2
32.601,11.79,348.4
32.701,13.69,348.5
32.801,11.69,348.4
32.901,13.69,349.0
33.001,13.68,348.4
33.101,11.72,348.6
33.201,13.66,349.5
33.301,11.74,348.5
33.400,13.69,349.2
33.501,11.70,348.4
33.601,11.69,348.4
33.700,13.75,348.5
33.800,11.72,348.7
33.901,13.61,348.5
34.000,11.81,349.2
34.100,13.66,348.4
34.201,13.60,348.5
34.301,11.72,348.5
34.401,15.61,348.8
34.500,11.79,348.4
34.600,13.66,348.4
34.700,13.68,348.4
34.800,11.71,348.4
34.901,13.61,348.4
35.000,11.75,348.4
35.100,11.75,348.4
35.200,13.66,348.5
35.301,11.65,348.4
35.400,15.68,348.5
35.501,13.66,348.5
35.601,11.65,348.4
35.701,13.64,348.4
35.801,11.82,348.5
35.900,13.68,348.4
36.000,13.68,348.4
36.101,11.68,348.5
36.201,15.60,348.4
36.301,11.71,349.4
36.401,13.68,348.4
36.500,11.79,349.4
36.600,11.74,348.4
36.700,13.68,348.4
36.801,13.57,348.4
36.900,13.71,349.5
37.001,11.71,348.4
37.100,11.78,348.4
37.200,13.66,348.5
37.300,11.74,348.5
37.400,11.71,348.9
37.501,13.60,348.4
37.600,13.74,349.1
37.700,13.65,348.4
37.801,11.65,349.3
37.900,13.78,348.4
38.000,11.71,348.5
38.100,13.65,348.4
38.201,13.64,349.5
38.300,13.75,348.4
38.400,13.66,348.4
38.500,11.71,348.5
38.600,11.74,348.5
38.701,13.56,348.5
38.801,11.71,348.7
38.901,11.76,348.4
39.000,13.74,348.5
39.100,11.68,349.4
39.201,13.61,348.4
39.301,11.71,348.4
39.401,13.72,348.4
39.500,11.78,348.5
39.601,11.64,349.1
39.701,13.68,348.9
39.800,11.80,348.4
39.901,13.56,349.4
40.001,13.68,349.3
40.101,11.72,349.3
40.201,13.70,348.4
40.300,11.72,349.3
40.400,13.71,348.4
40.500,11.71,348.4
40.600,11.74,348.5
40.701,13.44,349.2
40.800,11.86,349.2
40.901,13.68,348.5
41.000,11.75,348.4
41.101,11.65,348.7
41.201,13.66,349.5
41.301,11.71,349.5
41.401,13.66,349.2
41.501,11.74,348.4
41.601,11.71,348.5
41.701,15.64,348.4
41.800,11.74,349.5
41.900,13.68,349.5
42.000,13.68,349.5
42.101,11.70,348.4
42.201,13.66,348.4
42.301,11.72,348.4
42.401,13.62,349.5
42.501,11.80,348.5
42.600,13.70,349.2
42.700,13.62,348.4
42.801,11.66,348.5
42.901,13.69,348.4
43.001,11.72,348.4
43.100,11.79,348.4
43.201,13.61,348.4
43.300,11.80,348.4
43.400,13.65,348.4
43.500,9.76,348.7
43.601,11.66,349.1
43.700,13.76,348.4
43.800,11.70,348.4
43.901,13.60,348.5
44.000,11.78,348.4
44.101,11.62,348.5
44.200,13.82,348.5
44.300,13.61,349.5
44.401,13.64,348.5
44.500,11.81,348.6
44.600,11.72,348.5
44.700,13.66,348.5
44.800,11.71,348.6
44.900,13.64,348.4
45.000,11.72,348.7
45.101,11.68,348.5
45.201,13.62,348.4
45.301,11.75,348.5
45.401,13.66,348.4
45.501,11.71,348.4
45.600,11.71,348.4
45.700,13.75,348.4
45.801,11.66,348.4
45.901,13.66,348.4
46.001,13.65,348.4
46.101,11.71,348.4
46.201,13.71,348.4
46.301,11.72,348.4
46.401,13.65,348.4
46.500,11.61,348.5
46.600,11.86,348.4
46.700,11.76,348.4
46.801,11.65,348.5
46.901,13.66,349.5
47.001,11.72,348.4
47.101,11.59,349.4
47.200,13.89,348.9
47.300,13.65,348.7
47.401,15.53,348.4
47.500,9.84,348.4
47.600,11.70,348.5
47.701,13.59,349.5
47.801,11.71,349.5
47.901,13.68,349.5
48.001,11.72,349.3
48.101,11.74,348.4
48.200,13.78,348.4
48.300,13.69,348.4
48.401,13.54,348.5
48.501,11.78,349.1
48.600,11.76,348.5
48.701,13.60,348.4
48.801,11.70,348.4
48.900,11.84,348.4
49.000,13.65,348.4
49.101,11.65,348.4
49.200,13.75,348.4
49.300,11.70,348.5
49.400,13.70,348.4
49.500,11.68,348.4
49.600,11.74,349.4
49.700,13.69,348.5
49.801,11.65,348.5
49.901,13.68,348.5
50.001,11.71,348.9
50.101,11.71,348.7
50.201,13.68,348.5
50.301,11.70,349.5
50.401,13.68,349.0
50.501,11.72,348.5
50.601,11.71,349.1
50.701,13.68,348.5
50.800,11.79,349.4
50.900,11.72,348.5
51.001,15.47,348.4
51.101,13.72,348.8
51.201,13.66,348.9
51.301,11.71,349.4
51.401,13.69,348.5
51.500,13.74,348.8
51.600,11.71,348.9
51.700,13.72,348.5
51.800,11.70,348.5
51.900,13.64,348.5
52.000,11.74,349.0
52.100,11.55,348.9
52.201,13.84,348.5
52.301,11.70,348.4
52.401,13.70,348.4
52.501,9.71,348.5
52.601,11.74,348.4
52.700,13.71,348.5
52.801,11.70,349.5
52.900,13.71,348.4
53.000,11.71,349.5
53.100,13.70,348.5
53.200,15.62,348.5
53.300,13.66,348.9
53.400,13.65,348.5
53.500,11.68,348.8
53.600,11.76,348.4
53.701,13.57,348.7
53.800,11.81,348.5
53.900,11.71,348.5
54.000,13.69,348.4
54.101,11.66,348.5
54.201,13.68,348.5
54.300,11.79,348.5
54.400,11.72,348.5
54.501,13.56,348.6
54.601,11.75,348.5
54.701,13.66,349.6
54.801,11.68,348.4
54.901,13.72,348.5
55.001,11.71,348.4
55.101,11.71,348.5
55.200,15.69,348.5
55.301,11.68,348.5
55.401,13.68,348.4
55.501,11.60,348.5
55.600,11.88,348.4
55.701,13.64,349.2
55.801,11.74,348.5
55.901,13.62,348.4
56.001,11.74,348.5
56.101,11.71,348.5
56.201,13.71,349.4
56.300,13.70,348.5
56.400,15.60,349.4
56.500,13.70,348.5
56.600,11.72,348.5
56.700,13.64,349.6
56.800,13.69,348.4
56.900,13.49,348.8
57.001,11.85,348.5
57.101,11.70,349.3
57.201,13.72,348.5
57.300,11.75,348.4
57.400,13.46,349.2
57.500,11.86,348.9
57.601,11.68,348.4
57.700,13.74,349.1
57.800,11.71,348.4
57.901,13.59,349.3
58.000,11.80,348.5
58.101,11.71,348.4
58.201,13.66,348.5
58.301,11.70,348.5
58.401,13.69,348.5
58.501,11.50,348.5
