pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,13907.854432,13907.866355,0.011923,11.923
1,13909.851581,13909.959403,0.107823,107.823
2,13911.849682,13911.957209,0.107526,107.526
3,13913.851202,13913.869240,0.018038,18.038
4,13915.849547,13915.957551,0.108004,108.004
5,13917.849560,13917.867524,0.017964,17.964
6,13919.849964,13919.867977,0.018012,18.012
7,13921.851787,13921.958507,0.106721,106.721
8,13923.851974,13923.869952,0.017977,17.977
9,13925.851547,13925.959065,0.107519,107.519
10,13927.853591,13927.961538,0.107946,107.946
11,13929.853359,13929.865420,0.012061,12.061
12,13931.854752,13931.961865,0.107113,107.113
13,13933.853664,13933.865721,0.012058,12.058
14,13935.851238,13935.863204,0.011967,11.967
15,13937.849538,13937.957458,0.107920,107.920
16,13939.852346,13939.864316,0.011970,11.970
17,13941.850015,13941.957581,0.107565,107.565
18,13943.853921,13943.961978,0.108057,108.057
19,13945.849772,13945.867875,0.018103,18.103
20,13947.852292,13947.959295,0.107004,107.004
21,13949.853299,13949.865301,0.012003,12.003
22,13951.849455,13951.867372,0.017917,17.917
23,13953.853245,13953.961207,0.107962,107.962
24,13955.853467,13955.865410,0.011943,11.943
25,13957.853781,13957.960853,0.107072,107.072
26,13959.854971,13959.956526,0.101556,101.556
27,13961.853342,13961.871073,0.017732,17.732
28,13963.854521,13963.962074,0.107553,107.553
29,13965.849708,13965.867699,0.017991,17.991
30,13967.853724,13967.865660,0.011936,11.936
31,13969.853599,13969.961387,0.107788,107.788
32,13971.851247,13971.868496,0.017249,17.249
