time_s,cpu_percent,rss_mb
5.001,13.74,348.8
5.100,11.80,348.6
5.200,15.64,348.8
5.300,11.62,349.8
5.401,13.57,348.7
5.501,11.75,348.7
5.601,9.78,348.6
5.700,15.69,349.8
5.801,11.75,348.8
5.900,13.49,348.7
6.001,11.85,348.7
6.101,11.72,348.8
6.200,15.64,349.6
6.300,11.72,348.9
6.400,13.65,349.0
6.500,11.76,348.7
6.600,11.78,348.8
6.700,15.60,348.8
6.801,11.64,348.7
6.901,13.64,348.7
7.001,11.70,348.7
7.101,11.70,349.1
7.201,13.74,348.7
7.301,11.74,348.6
7.401,15.56,348.7
7.500,11.79,348.7
7.600,11.70,349.1
7.700,15.69,348.7
7.801,11.61,349.6
7.900,13.78,348.7
8.001,11.66,348.6
8.101,17.43,349.5
8.201,11.81,348.7
8.300,11.78,348.7
8.400,13.61,348.6
8.501,11.75,349.8
8.601,13.62,349.0
8.700,15.75,348.9
8.800,11.70,348.8
8.900,15.60,348.7
9.000,11.72,348.7
9.100,11.71,348.7
9.200,13.69,349.6
9.300,11.70,348.6
9.400,17.55,348.7
9.500,11.71,349.5
9.600,11.70,349.1
9.701,11.71,348.7
9.800,11.78,348.8
9.901,13.50,348.7
10.001,11.76,348.6
10.101,11.78,348.9
10.201,15.61,349.6
10.301,11.75,348.8
10.400,13.68,348.6
10.500,11.72,348.7
10.601,11.64,348.7
10.701,13.66,348.6
10.801,11.80,348.6
10.901,17.49,348.7
11.001,11.78,348.6
11.101,11.70,349.1
11.200,13.70,349.8
11.300,11.72,349.2
11.400,13.66,348.7
11.500,11.68,348.7
11.601,11.70,349.7
11.701,17.50,348.7
11.801,11.70,348.7
11.901,13.54,348.6
12.001,11.93,348.7
12.101,11.72,348.7
12.200,15.74,348.6
12.300,11.70,348.7
12.400,13.68,348.6
12.501,11.62,348.8
12.601,11.71,348.7
12.701,15.65,348.7
12.801,11.71,348.6
12.900,13.68,349.6
13.001,11.69,348.8
13.100,13.71,348.7
13.200,15.66,348.6
13.301,11.69,348.7
13.401,17.54,348.7
13.501,11.72,348.6
13.601,11.71,349.1
13.700,13.80,348.7
13.800,11.70,348.7
13.900,13.66,348.6
14.000,11.68,349.1
14.101,11.68,349.1
14.201,15.66,348.6
14.301,11.70,348.7
14.401,13.69,348.6
14.501,11.74,349.6
14.601,11.74,349.4
14.701,13.62,348.6
14.800,11.76,348.6
14.901,13.55,348.6
15.000,11.82,349.7
15.100,11.68,349.1
15.201,13.65,349.7
15.301,11.75,348.6
15.401,15.50,349.7
15.500,11.82,349.8
15.601,11.66,348.7
15.701,13.68,348.7
15.801,11.71,348.6
15.901,13.65,348.6
16.001,11.76,348.6
16.100,13.70,348.6
16.200,15.62,348.7
16.300,11.69,349.8
16.400,13.65,349.8
16.500,11.80,348.6
16.601,13.61,348.7
16.700,13.75,348.7
16.800,11.74,348.6
16.901,15.55,348.6
17.001,11.71,349.1
17.100,11.72,349.1
17.200,13.70,348.7
17.300,11.71,348.8
17.400,13.64,348.6
17.500,11.72,348.9
17.600,11.74,348.7
17.700,17.57,348.6
17.801,11.68,348.6
17.900,13.75,348.6
18.000,11.72,348.6
18.100,11.71,349.1
18.201,13.60,348.7
18.301,11.70,348.7
18.401,15.61,348.7
18.501,11.72,349.4
18.601,13.68,348.6
18.701,15.70,349.3
18.801,11.71,348.6
18.901,15.60,348.7
19.000,11.76,349.8
19.101,11.61,348.6
19.201,15.70,349.7
19.300,11.75,349.6
19.401,15.56,348.7
19.501,11.71,349.8
19.601,13.70,349.1
19.700,15.71,348.7
19.800,11.71,348.7
19.900,15.60,348.7
20.000,11.72,348.7
20.101,11.70,349.1
20.200,13.75,348.6
20.301,11.65,349.0
20.400,15.62,349.4
20.500,9.80,349.5
20.601,11.66,349.1
20.701,15.66,348.7
20.801,11.74,348.6
20.900,17.59,349.6
21.000,11.72,348.9
21.100,11.74,348.6
21.200,13.65,349.0
21.300,11.74,348.7
21.401,13.60,349.8
21.501,11.75,348.6
21.601,13.65,348.7
21.700,15.47,348.6
21.800,11.88,349.8
21.901,13.64,348.6
22.001,11.72,348.6
22.100,11.75,349.6
22.200,13.71,348.7
22.301,11.56,349.7
22.401,13.72,348.7
22.500,11.80,348.6
22.600,11.71,348.7
22.700,13.69,348.6
22.800,11.70,348.7
22.900,15.62,349.0
23.000,11.74,348.7
23.101,11.61,349.1
23.201,13.69,349.5
23.301,11.78,348.6
23.401,15.60,349.6
23.501,11.74,348.7
23.600,11.75,349.1
23.700,13.75,348.6
23.801,11.59,348.6
23.900,13.81,348.6
24.001,13.54,348.6
24.101,11.72,348.7
24.200,15.70,348.7
24.300,11.75,349.6
24.400,13.46,348.7
24.500,11.91,348.6
24.600,11.68,348.6
24.701,15.59,348.9
24.801,11.70,348.7
24.901,15.64,348.7
25.001,11.72,348.7
25.101,11.71,349.1
25.201,13.68,348.9
25.301,11.71,348.6
25.400,15.68,348.7
25.500,11.76,348.7
25.600,11.69,349.1
25.700,13.70,348.7
25.801,11.62,348.6
25.900,13.76,348.7
26.000,11.75,348.6
26.101,11.56,349.1
26.201,13.71,349.6
26.301,11.78,348.6
26.400,15.66,348.7
26.501,11.65,348.6
26.601,11.70,348.9
26.701,13.72,348.6
26.800,11.76,348.6
26.901,15.56,348.6
27.000,13.74,348.7
27.100,11.71,348.6
27.200,13.66,349.3
27.300,11.70,348.7
27.400,13.66,349.1
27.501,11.71,348.6
27.600,11.72,349.1
27.700,13.69,349.4
27.801,11.71,348.7
27.901,13.61,349.8
28.001,11.74,349.1
28.101,11.72,348.7
28.200,13.78,348.6
28.300,11.69,348.7
28.400,13.62,348.9
28.500,11.71,348.6
28.601,11.66,349.1
28.700,13.75,348.6
28.800,11.71,348.7
28.900,13.69,348.7
29.000,11.72,348.6
29.100,11.71,348.7
29.201,15.64,348.6
29.301,11.65,348.6
29.401,13.70,348.8
29.500,11.79,348.7
29.600,13.65,348.7
29.701,13.61,349.7
29.801,11.72,348.7
29.900,11.71,348.7
30.000,11.78,348.8
30.100,13.66,348.7
30.200,15.65,348.7
30.300,11.69,348.7
30.400,15.60,348.8
30.500,11.78,348.7
30.600,11.70,349.2
30.700,13.69,349.7
30.800,11.71,348.8
30.900,13.65,349.8
31.001,11.71,349.0
31.101,11.68,349.2
31.201,13.72,348.8
31.301,11.70,348.7
31.401,15.54,348.7
31.501,11.76,348.7
31.601,13.69,348.7
31.701,13.65,348.8
31.800,11.79,348.8
31.900,15.59,348.8
32.000,11.72,349.8
32.100,11.74,348.8
32.200,13.69,348.7
32.300,11.70,348.7
32.400,13.66,349.0
32.500,11.72,348.7
32.600,11.71,348.8
32.700,15.69,348.7
32.800,11.68,348.7
32.900,15.61,348.8
33.001,11.64,349.1
33.100,11.81,349.4
33.200,13.75,348.7
33.300,11.69,348.7
33.400,15.60,349.2
33.501,11.64,349.3
33.601,13.47,349.2
33.700,13.99,348.8
33.800,11.70,348.7
33.900,15.62,348.8
34.000,11.71,348.7
34.100,11.70,349.8
34.200,17.64,348.8
34.301,11.60,348.8
34.400,13.79,348.8
34.500,11.74,348.7
34.601,11.66,348.7
34.701,15.68,348.7
34.801,11.69,349.8
34.901,15.64,348.8
35.000,11.79,348.7
35.100,13.62,349.5
35.200,13.75,348.7
35.300,11.70,348.7
35.400,13.62,348.9
35.500,11.74,348.8
35.600,11.71,348.7
35.701,15.54,348.7
35.801,11.68,349.8
35.901,13.71,348.7
36.001,11.70,348.8
36.101,11.69,349.2
36.201,13.76,348.7
36.301,11.72,348.7
36.400,15.66,348.8
36.500,11.72,349.4
36.600,11.71,348.7
36.701,13.60,348.7
36.801,9.78,348.7
36.901,15.64,348.8
37.001,11.70,348.8
37.101,11.68,349.7
37.200,13.80,348.7
37.300,11.70,348.7
37.400,15.59,348.8
37.500,11.72,348.7
37.600,11.74,348.7
37.700,13.68,348.8
