pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,14723.849947,14723.867965,0.018018,18.018
1,14725.853759,14725.961756,0.107997,107.997
2,14727.853560,14727.955164,0.101604,101.604
3,14729.851397,14729.868931,0.017534,17.534
4,14731.851910,14731.960005,0.108095,108.095
5,14733.849811,14733.867822,0.018011,18.011
6,14735.853599,14735.865102,0.011503,11.503
7,14737.849276,14737.957604,0.108328,108.328
8,14739.849698,14739.867761,0.018063,18.063
9,14741.852891,14741.960427,0.107536,107.536
10,14743.851860,14743.959251,0.107390,107.390
11,14745.854208,14745.866138,0.011930,11.930
12,14747.852355,14747.959929,0.107574,107.574
13,14749.849924,14749.867987,0.018063,18.063
14,14751.850220,14751.868130,0.017911,17.911
15,14753.852269,14753.959436,0.107168,107.168
16,14755.853774,14755.865779,0.012004,12.004
17,14757.853706,14757.961725,0.108019,108.019
18,14759.849953,14759.958033,0.108081,108.081
19,14761.854744,14761.866697,0.011953,11.953
20,14763.851902,14763.960255,0.108353,108.353
21,14765.853389,14765.865003,0.011614,11.614
22,14767.850023,14767.868014,0.017991,17.991
23,14769.851839,14769.959694,0.107854,107.854
24,14771.853645,14771.865113,0.011468,11.468
25,14773.849615,14773.956310,0.106695,106.695
26,14775.852423,14775.959537,0.107114,107.114
27,14777.854452,14777.866483,0.012031,12.031
28,14779.853634,14779.960119,0.106486,106.486
29,14781.853628,14781.865138,0.011510,11.510
30,14783.852422,14783.864411,0.011989,11.989
31,14785.851731,14785.959763,0.108032,108.032
32,14787.851884,14787.869907,0.018022,18.022
