pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,14109.852239,14109.864268,0.012029,12.029
1,14111.851679,14111.863654,0.011975,11.975
2,14113.850105,14113.960014,0.109909,109.909
3,14115.854027,14115.865831,0.011804,11.804
4,14117.849549,14117.957471,0.107922,107.922
5,14119.854171,14119.957192,0.103021,103.021
6,14121.853664,14121.865690,0.012026,12.026
7,14123.849317,14123.957083,0.107766,107.766
8,14125.853814,14125.865816,0.012001,12.001
9,14127.849465,14127.867540,0.018076,18.076
10,14129.849894,14129.957802,0.107909,107.909
11,14131.850924,14131.868861,0.017937,17.937
12,14133.853939,14133.961943,0.108004,108.004
13,14135.853840,14135.961172,0.107331,107.331
14,14137.849140,14137.867151,0.018011,18.011
15,14139.851121,14139.958668,0.107548,107.548
16,14141.849438,14141.867486,0.018048,18.048
17,14143.850967,14143.868941,0.017975,17.975
18,14145.853540,14145.961552,0.108012,108.012
19,14147.849377,14147.867355,0.017978,17.978
20,14149.853163,14149.960846,0.107683,107.683
21,14151.851820,14151.959373,0.107553,107.553
22,14153.853088,14153.865057,0.011968,11.968
23,14155.851911,14155.959811,0.107900,107.900
24,14157.853935,14157.865918,0.011984,11.984
25,14159.851709,14159.863702,0.011993,11.993
26,14161.849364,14161.957165,0.107802,107.802
27,14163.851761,14163.869737,0.017976,17.976
28,14165.852289,14165.959762,0.107473,107.473
29,14167.853150,14167.961193,0.108043,108.043
30,14169.849577,14169.867561,0.017984,17.984
31,14171.850751,14171.958194,0.107443,107.443
32,14173.854115,14173.866057,0.011942,11.942
33,14175.855132,14175.867098,0.011967,11.967
