pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,14197.849749,14197.957725,0.107975,107.975
1,14199.849316,14199.957325,0.108009,108.009
2,14201.852452,14201.869948,0.017496,17.496
3,14203.853546,14203.961516,0.107970,107.970
4,14205.853611,14205.865612,0.012002,12.002
5,14207.850376,14207.868219,0.017843,17.843
6,14209.852218,14209.960184,0.107966,107.966
7,14211.852524,14211.864046,0.011522,11.522
8,14213.854380,14213.961433,0.107053,107.053
9,14215.854116,14215.956095,0.101979,101.979
10,14217.851891,14217.863467,0.011576,11.576
11,14219.849534,14219.956767,0.107232,107.232
12,14221.852846,14221.864963,0.012117,12.117
13,14223.849482,14223.867637,0.018155,18.155
14,14225.852319,14225.959202,0.106883,106.883
15,14227.849177,14227.867173,0.017996,17.996
16,14229.852432,14229.958448,0.106016,106.016
17,14231.849266,14231.957339,0.108073,108.073
18,14233.849280,14233.867047,0.017767,17.767
19,14235.849175,14235.957212,0.108038,108.038
20,14237.853210,14237.865202,0.011992,11.992
21,14239.849474,14239.867490,0.018016,18.016
22,14241.854683,14241.961371,0.106687,106.687
23,14243.850794,14243.868784,0.017990,17.990
24,14245.853304,14245.961541,0.108237,108.237
25,14247.849645,14247.956522,0.106877,106.877
26,14249.852169,14249.869664,0.017495,17.495
27,14251.852561,14251.960117,0.107556,107.556
28,14253.854702,14253.866133,0.011431,11.431
29,14255.850469,14255.868526,0.018057,18.057
30,14257.851698,14257.959193,0.107494,107.494
31,14259.852250,14259.863827,0.011577,11.577
32,14261.849476,14261.963263,0.113787,113.787
33,14263.852505,14263.959547,0.107042,107.042
