time_s,cpu_percent,rss_mb
5.000,13.68,353.6
5.100,11.72,352.9
5.201,11.57,352.7
5.301,13.79,352.5
5.400,11.79,352.6
5.501,13.56,352.5
5.600,11.72,352.6
5.700,11.68,353.0
5.800,13.80,352.5
5.900,11.64,352.5
6.000,15.43,352.6
6.100,11.70,352.5
6.201,13.69,353.0
6.300,13.81,352.6
6.400,11.59,352.5
6.500,13.89,353.6
6.600,11.70,352.5
6.700,11.64,353.6
6.800,13.74,352.9
6.901,11.56,352.5
7.001,13.78,353.2
7.101,11.74,352.9
7.201,11.74,352.5
7.300,13.76,353.3
7.400,13.64,352.5
7.500,13.66,353.3
7.601,11.71,352.6
7.701,11.74,353.5
7.800,13.62,353.6
7.900,11.74,353.2
8.000,13.74,352.5
8.100,11.64,352.6
8.200,11.81,352.5
8.300,13.65,352.6
8.400,13.62,352.6
8.500,15.32,353.0
8.600,12.00,352.5
8.700,11.75,352.5
8.800,13.57,352.6
8.900,11.74,352.6
9.000,15.69,352.5
9.100,9.61,352.6
9.200,11.75,352.7
9.300,13.76,352.5
9.400,11.76,353.0
9.500,13.50,352.6
9.600,11.89,352.5
9.700,11.61,353.0
9.800,13.82,352.5
9.900,9.81,352.5
10.000,13.38,352.6
10.100,11.88,352.5
10.200,13.69,353.5
10.300,13.64,353.6
10.401,11.69,352.6
10.500,15.60,352.5
10.600,11.71,352.5
10.701,11.69,352.6
10.800,15.51,352.5
10.900,11.72,353.6
11.000,13.55,352.6
11.100,11.95,352.8
11.200,11.62,352.5
11.300,13.74,351.4
11.400,13.66,351.3
11.500,13.72,351.5
11.600,11.69,350.5
11.700,13.50,350.7
11.800,11.74,351.2
11.900,11.71,350.3
12.000,11.65,349.9
12.100,11.88,350.5
12.200,15.51,349.4
12.300,11.89,348.3
12.400,11.78,348.4
12.500,13.64,348.3
12.600,11.60,348.3
12.700,11.86,348.4
12.800,11.72,348.4
12.900,13.57,349.4
13.000,13.80,348.4
13.100,13.62,348.6
13.200,11.79,348.4
13.300,13.60,348.7
13.400,11.68,348.6
13.500,15.60,348.8
13.600,11.82,348.4
13.700,15.18,348.4
13.800,11.86,348.3
13.900,11.93,348.4
14.000,13.56,348.3
14.101,11.74,349.5
14.200,11.59,348.4
14.300,15.89,348.3
14.400,11.72,348.3
14.500,13.62,348.3
14.600,9.81,348.4
14.700,11.60,348.5
14.800,13.75,348.6
