pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,14547.854582,14547.866464,0.011883,11.883
1,14549.849421,14549.957443,0.108021,108.021
2,14551.849654,14551.957641,0.107987,107.987
3,14553.851405,14553.869413,0.018007,18.007
4,14555.852516,14555.959117,0.106601,106.601
5,14557.854052,14557.866005,0.011953,11.953
6,14559.851581,14559.869534,0.017953,17.953
7,14561.853405,14561.961450,0.108045,108.045
8,14563.853654,14563.865702,0.012048,12.048
9,14565.854176,14565.955885,0.101709,101.709
10,14567.853763,14567.955767,0.102004,102.004
11,14569.851845,14569.863886,0.012041,12.041
12,14571.850240,14571.957705,0.107465,107.465
13,14573.854818,14573.866808,0.011990,11.990
14,14575.849879,14575.867884,0.018005,18.005
15,14577.851630,14577.959655,0.108025,108.025
16,14579.852542,14579.864515,0.011973,11.973
17,14581.852361,14581.960371,0.108009,108.009
18,14583.849651,14583.957620,0.107969,107.969
19,14585.851989,14585.863981,0.011991,11.991
20,14587.852203,14587.964938,0.112735,112.735
21,14589.849645,14589.867670,0.018026,18.026
22,14591.850057,14591.868033,0.017975,17.975
23,14593.854308,14593.956441,0.102134,102.134
24,14595.854974,14595.866954,0.011980,11.980
25,14597.849572,14597.957568,0.107996,107.996
26,14599.852302,14599.960282,0.107981,107.981
27,14601.849774,14601.867826,0.018052,18.052
28,14603.852283,14603.960208,0.107925,107.925
29,14605.851453,14605.869399,0.017946,17.946
30,14607.850410,14607.867531,0.017121,17.121
31,14609.851858,14609.959846,0.107988,107.988
32,14611.853642,14611.865662,0.012019,12.019
33,14613.853716,14613.961654,0.107938,107.938
