pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,16934.894536,16935.002498,0.107963,107.963
1,16936.896967,16937.004946,0.107980,107.980
2,16938.892170,16938.910151,0.017982,17.982
3,16940.896930,16941.004991,0.108061,108.061
4,16942.892086,16942.999653,0.107567,107.567
5,16944.892144,16945.004417,0.112273,112.273
6,16946.895735,16947.001592,0.105857,105.857
7,16948.896915,16948.998935,0.102020,102.020
8,16950.893652,16951.001700,0.108048,108.048
9,16952.896326,16953.004328,0.108002,108.002
10,16954.896728,16954.908747,0.012019,12.019
11,16956.896504,16957.004562,0.108058,108.058
12,16958.893618,16959.001647,0.108029,108.029
13,16960.895966,16961.003965,0.107999,107.999
14,16962.891687,16963.005555,0.113868,113.868
15,16964.892334,16965.000085,0.107751,107.751
16,16966.891849,16967.005828,0.113979,113.979
17,16968.892610,16969.000616,0.108006,108.006
18,16970.894282,16970.912244,0.017962,17.962
19,16972.894193,16973.002336,0.108143,108.143
20,16974.894145,16975.002155,0.108009,108.009
21,16976.891978,16977.006007,0.114029,114.029
22,16978.893976,16979.001905,0.107929,107.929
23,16980.896158,16981.004244,0.108086,108.086
24,16982.892383,16983.000371,0.107988,107.988
25,16984.895997,16985.003974,0.107977,107.977
26,16986.893926,16986.911949,0.018024,18.024
27,16988.894019,16989.002038,0.108019,108.019
28,16990.894586,16991.001570,0.106984,106.984
29,16992.894218,16993.002167,0.107950,107.950
30,16994.897089,16995.004701,0.107612,107.612
31,16996.892365,16997.000370,0.108005,108.005
32,16998.895323,16999.002913,0.107590,107.590
33,17000.894416,17001.002809,0.108393,108.393
