pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,17022.892939,17023.000488,0.107549,107.549
1,17024.895754,17025.004303,0.108549,108.549
2,17026.891754,17027.005747,0.113992,113.992
3,17028.893942,17029.001770,0.107828,107.828
4,17030.891794,17031.005796,0.114002,114.002
5,17032.895637,17033.003576,0.107938,107.938
6,17034.891537,17034.909544,0.018007,18.007
7,17036.892975,17037.000441,0.107466,107.466
8,17038.896108,17039.004000,0.107892,107.892
9,17040.894014,17041.001964,0.107950,107.950
10,17042.894209,17043.000921,0.106712,106.712
11,17044.893649,17045.001638,0.107989,107.989
12,17046.894221,17047.001944,0.107724,107.724
13,17048.895954,17049.003921,0.107966,107.966
14,17050.892241,17050.910153,0.017911,17.911
15,17052.895913,17053.003782,0.107869,107.869
16,17054.894344,17055.002023,0.107679,107.679
17,17056.894121,17057.002241,0.108121,108.121
18,17058.893729,17059.001694,0.107965,107.965
19,17060.895900,17061.004009,0.108110,108.110
20,17062.892923,17063.006434,0.113510,113.510
21,17064.891743,17064.999800,0.108057,108.057
22,17066.891893,17066.909941,0.018048,18.048
23,17068.891965,17069.006062,0.114097,114.097
24,17070.896304,17071.003835,0.107531,107.531
25,17072.896244,17073.004140,0.107895,107.895
26,17074.891912,17075.000061,0.108149,108.149
27,17076.892875,17077.000846,0.107971,107.971
28,17078.894529,17079.001096,0.106567,106.567
29,17080.895931,17081.003917,0.107986,107.986
30,17082.891967,17082.909995,0.018028,18.028
31,17084.892344,17085.006335,0.113991,113.991
32,17086.896579,17087.004126,0.107547,107.547
