pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,16846.894292,16847.002277,0.107985,107.985
1,16848.896537,16849.004517,0.107979,107.979
2,16850.896785,16851.004796,0.108011,108.011
3,16852.894884,16853.002806,0.107922,107.922
4,16854.894550,16855.002514,0.107964,107.964
5,16856.896923,16857.004876,0.107953,107.953
6,16858.896306,16858.908327,0.012021,12.021
7,16860.896197,16861.004198,0.108001,108.001
8,16862.897214,16863.004758,0.107544,107.544
9,16864.894584,16865.006633,0.112049,112.049
10,16866.894445,16867.002470,0.108025,108.025
11,16868.894611,16869.002641,0.108030,108.030
12,16870.894725,16871.002960,0.108234,108.234
13,16872.895942,16873.003973,0.108031,108.031
14,16874.896421,16874.908433,0.012012,12.012
15,16876.892283,16877.000286,0.108003,108.003
16,16878.892373,16879.000316,0.107943,107.943
17,16880.892638,16881.006666,0.114027,114.027
18,16882.896859,16883.004086,0.107227,107.227
19,16884.894495,16885.001644,0.107149,107.149
20,16886.894403,16887.002410,0.108008,108.008
21,16888.893173,16889.000715,0.107542,107.542
22,16890.892444,16890.910466,0.018022,18.022
23,16892.892505,16893.000520,0.108015,108.015
24,16894.894322,16895.002229,0.107906,107.906
25,16896.894753,16897.002710,0.107957,107.957
26,16898.893014,16899.006492,0.113478,113.478
27,16900.894782,16901.002747,0.107966,107.966
28,16902.894328,16903.001967,0.107639,107.639
29,16904.894162,16905.001943,0.107781,107.781
30,16906.894250,16906.912284,0.018034,18.034
31,16908.892682,16909.000661,0.107979,107.979
32,16910.892392,16911.000394,0.108002,108.002
33,16912.894606,16913.002578,0.107972,107.972
