pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,16584.893698,16585.006958,0.113260,113.260
1,16586.896996,16586.908939,0.011943,11.943
2,16588.896903,16589.004330,0.107427,107.427
3,16590.892195,16591.000270,0.108076,108.076
4,16592.896427,16593.004416,0.107989,107.989
5,16594.892390,16595.000467,0.108077,108.077
6,16596.894051,16597.001541,0.107490,107.490
7,16598.891536,16599.005333,0.113797,113.797
8,16600.894852,16601.002427,0.107575,107.575
9,16602.892565,16602.910521,0.017956,17.956
10,16604.896676,16605.003799,0.107123,107.123
11,16606.894855,16607.002781,0.107926,107.926
12,16608.894773,16609.002713,0.107940,107.940
13,16610.895208,16611.003244,0.108037,108.037
14,16612.896719,16613.003896,0.107177,107.177
15,16614.893787,16615.007267,0.113480,113.480
16,16616.892457,16617.006832,0.114374,114.374
17,16618.892843,16618.910904,0.018061,18.061
18,16620.894925,16621.003121,0.108196,108.196
19,16622.891585,16623.005125,0.113540,113.540
20,16624.893915,16625.000982,0.107067,107.067
21,16626.896017,16627.003366,0.107348,107.348
22,16628.894619,16629.001879,0.107259,107.259
23,16630.897092,16631.004530,0.107438,107.438
24,16632.894890,16633.002108,0.107218,107.218
25,16634.891656,16634.909649,0.017993,17.993
26,16636.895729,16637.003734,0.108004,108.004
27,16638.894814,16639.002291,0.107477,107.477
28,16640.891524,16641.005468,0.113944,113.944
29,16642.896680,16643.004321,0.107641,107.641
30,16644.891508,16644.999215,0.107707,107.707
31,16646.893758,16647.000650,0.106892,106.892
32,16648.893491,16649.000691,0.107200,107.200
33,16650.892284,16650.910333,0.018049,18.049
