time_s,cpu_percent,rss_mb
5.001,11.43,345.9
5.100,11.94,344.8
5.201,13.72,345.4
5.300,9.71,345.5
5.401,11.76,344.9
5.500,13.65,344.8
5.601,11.72,344.9
5.701,13.76,344.9
5.801,11.75,344.9
5.900,11.76,344.8
6.001,11.66,344.9
6.100,11.78,344.8
6.201,13.61,344.8
6.300,11.78,344.8
6.400,11.71,344.9
6.500,13.68,344.8
6.600,11.70,345.6
6.700,13.68,344.8
6.801,11.66,344.9
6.901,11.71,344.8
7.000,13.72,345.3
7.100,11.75,344.8
7.200,11.66,344.9
7.300,11.72,345.9
7.400,11.69,344.9
7.501,11.72,344.9
7.601,11.57,344.8
7.700,13.91,344.9
7.800,11.51,344.8
7.900,11.90,344.8
8.000,13.66,344.9
8.100,11.74,344.9
8.201,13.60,344.9
8.301,11.75,344.9
8.401,11.78,344.9
8.500,13.64,344.9
8.600,9.69,344.9
8.701,11.81,344.9
8.801,11.72,344.8
8.900,11.76,344.8
9.001,13.49,344.8
9.101,11.79,344.9
9.201,13.66,345.9
9.300,11.80,345.9
9.401,11.68,344.9
9.501,13.66,344.8
9.600,11.74,344.9
9.701,11.69,344.8
9.801,11.69,344.8
9.900,11.82,344.9
10.001,13.57,345.7
10.100,11.78,344.8
10.201,13.60,344.8
10.300,11.79,345.9
10.401,11.70,344.8
10.501,13.66,344.8
10.601,11.66,344.9
10.701,9.53,344.9
10.800,11.53,344.9
10.901,12.31,344.9
11.000,13.65,345.7
11.100,11.74,344.8
11.200,13.69,345.9
11.300,11.70,345.9
11.400,11.78,344.8
11.501,13.60,345.2
11.600,11.75,344.8
11.701,13.68,344.9
11.801,11.66,344.9
11.901,11.72,344.9
12.000,13.75,344.9
12.101,11.66,344.9
12.200,13.76,344.8
12.300,11.72,344.8
12.401,11.65,344.9
12.501,13.46,344.8
12.600,11.90,344.9
12.700,11.75,344.8
12.800,11.69,344.9
12.900,11.70,345.9
13.000,13.68,344.9
13.101,11.69,344.9
13.201,13.66,344.9
13.301,11.76,344.8
13.401,11.71,344.8
13.501,13.69,344.8
13.601,11.69,345.6
13.701,13.66,345.8
13.800,11.78,344.9
13.900,11.74,344.8
14.000,13.64,345.2
14.101,11.68,344.9
14.201,13.64,345.5
14.301,11.74,344.9
14.400,11.75,345.9
14.501,13.62,344.8
14.601,11.74,344.9
14.700,13.75,344.8
14.800,11.68,345.9
14.901,11.71,344.8
15.001,13.65,344.9
15.101,11.74,344.8
15.201,13.62,344.8
15.300,11.80,344.9
15.400,11.72,344.9
15.500,13.66,345.9
15.601,11.69,344.8
15.701,13.62,345.8
15.800,11.80,344.8
15.900,11.69,345.9
16.000,13.68,345.0
16.100,11.71,344.9
16.200,13.71,344.8
16.301,11.62,344.9
16.401,11.74,344.8
16.500,13.74,344.9
16.600,11.72,344.8
16.700,13.68,344.8
16.801,11.65,344.8
16.901,13.66,346.0
17.001,11.78,344.9
17.100,11.78,344.8
17.200,13.68,344.8
17.301,11.64,345.8
17.401,11.75,344.9
17.501,13.68,344.8
17.601,11.70,344.9
17.700,13.76,344.9
17.801,11.68,344.8
17.900,11.76,344.8
18.000,13.65,345.2
18.101,11.69,344.8
18.201,13.68,344.8
18.300,11.74,344.8
18.400,11.72,344.8
18.500,13.64,346.0
18.600,11.76,344.8
18.701,13.62,345.6
18.800,11.75,344.8
18.901,13.57,345.0
19.000,11.82,344.8
19.101,11.55,345.5
19.200,13.81,346.0
19.301,11.65,345.0
19.401,13.72,345.0
19.501,11.69,345.3
19.601,11.75,344.8
19.701,13.69,346.0
19.801,11.70,345.0
19.901,11.70,344.8
20.001,13.68,345.0
20.100,11.79,345.0
20.200,13.65,344.8
20.301,9.70,345.0
20.400,11.84,345.0
20.501,13.50,344.8
20.601,11.75,345.0
20.700,13.79,345.0
20.800,11.69,344.8
20.900,11.72,344.8
21.001,13.62,345.0
21.100,11.76,345.0
21.200,13.68,344.8
21.300,11.71,345.0
21.401,13.57,344.8
21.501,11.72,345.0
21.601,11.74,344.8
21.701,13.60,344.8
21.800,11.88,344.8
21.901,13.51,344.8
22.001,11.78,345.0
22.100,11.74,345.8
22.201,13.69,345.0
22.301,11.74,345.0
22.401,13.55,345.8
22.501,11.70,344.8
22.601,11.76,346.0
22.700,13.79,345.0
22.801,11.59,345.5
22.901,11.81,345.0
23.001,13.69,344.8
23.101,11.71,344.9
23.200,11.76,345.0
23.300,11.72,345.0
23.401,11.65,344.8
23.500,13.68,345.9
23.600,11.70,345.8
23.700,13.74,344.9
23.800,11.74,345.5
23.901,11.64,344.8
24.001,13.69,344.8
24.101,11.70,344.9
24.201,13.68,344.8
24.301,11.71,345.0
24.401,13.66,345.0
24.500,11.76,344.8
24.600,11.70,346.0
24.700,13.70,344.8
24.801,11.69,344.8
24.901,11.70,345.0
25.000,13.60,344.8
25.101,11.81,345.0
25.201,11.74,345.0
25.301,11.71,344.9
25.401,13.66,345.0
25.500,11.76,345.0
25.601,11.66,344.9
25.701,13.69,344.8
25.801,11.71,345.0
25.900,11.75,346.0
26.001,13.66,344.8
26.100,11.78,345.0
26.200,13.65,345.0
26.300,11.70,346.0
26.400,9.76,344.8
26.500,13.71,345.0
26.600,11.74,345.9
26.701,13.59,344.8
26.800,11.69,345.0
26.900,11.84,345.0
27.001,13.57,346.0
27.100,11.74,344.8
27.201,13.57,345.0
27.301,11.75,344.8
27.401,13.66,345.2
27.500,11.81,345.5
27.600,11.70,345.0
27.701,13.66,345.5
27.801,9.71,344.8
