time_s,cpu_percent,rss_mb
5.001,9.99,344.6
5.101,10.62,344.6
5.200,11.97,344.7
5.300,11.70,345.7
5.400,11.75,344.6
5.500,11.69,345.5
5.600,11.70,344.7
5.701,11.43,344.6
5.801,13.66,344.6
5.901,11.76,344.6
6.001,9.93,344.8
6.101,13.76,344.6
6.201,11.59,344.6
6.300,13.68,344.6
6.400,9.72,344.7
6.500,11.86,344.7
6.600,13.78,344.7
6.700,11.64,344.7
6.800,13.75,344.7
6.900,11.71,344.6
7.000,11.74,344.6
7.101,13.55,344.6
7.201,11.68,345.6
7.301,13.71,344.7
7.401,11.65,345.7
7.501,9.60,344.6
7.600,9.94,344.6
7.700,11.78,344.7
7.801,13.75,344.8
7.901,11.66,344.7
8.000,9.85,344.7
8.101,13.61,344.7
8.201,11.70,344.6
8.300,13.74,345.7
8.400,11.71,345.3
8.500,11.70,344.7
8.600,13.71,344.7
8.700,11.68,345.4
8.800,13.71,344.7
8.900,11.72,345.1
9.000,11.71,344.7
9.100,13.69,344.7
9.200,11.72,344.6
9.300,13.59,344.6
9.400,11.59,345.7
9.500,11.88,344.6
9.600,13.55,344.6
9.700,11.78,344.7
9.800,13.20,345.7
9.900,10.16,345.7
10.000,11.75,344.7
10.100,13.64,345.1
10.200,11.72,345.6
10.300,13.69,344.7
10.400,11.70,345.0
10.500,11.72,345.2
10.600,13.69,344.7
10.700,11.61,345.6
10.800,13.85,344.6
10.900,11.69,344.6
11.000,11.72,344.6
11.101,13.56,344.6
11.200,9.82,344.6
11.301,13.57,345.0
11.401,11.74,344.7
11.500,11.76,344.6
11.600,13.69,345.0
11.700,11.70,345.6
11.801,13.61,345.7
11.900,9.84,344.7
12.001,11.64,344.6
12.101,13.68,344.8
12.200,11.76,344.6
12.301,13.69,344.6
12.401,11.68,344.7
12.500,11.81,344.6
12.600,13.66,344.6
12.700,11.79,344.7
12.801,13.56,344.7
12.901,11.68,344.6
13.001,11.71,345.4
13.101,13.68,344.7
13.200,11.75,344.7
13.301,13.66,344.8
13.401,11.68,344.8
13.501,11.78,344.6
13.601,13.69,344.6
13.701,9.54,344.7
13.800,14.06,344.8
13.900,11.71,344.7
14.000,11.69,344.7
14.100,13.66,344.8
14.200,11.72,344.7
14.300,13.66,344.7
14.400,11.72,344.7
14.500,11.69,345.6
14.600,13.66,345.6
14.701,11.55,344.7
14.800,13.89,344.8
14.901,9.78,344.7
15.001,11.72,344.8
15.101,13.64,344.7
15.200,11.80,344.6
15.300,13.68,344.7
15.400,11.71,344.6
15.501,11.65,344.8
15.600,13.74,344.9
15.701,11.65,345.3
15.801,13.69,344.8
15.900,11.80,344.7
16.000,11.71,344.8
16.100,13.65,344.8
16.200,11.71,345.6
16.300,13.69,345.8
16.400,11.71,344.8
16.500,11.71,344.9
16.601,13.64,344.7
16.701,11.72,344.6
16.801,13.66,344.8
16.900,11.75,344.8
17.000,11.69,344.7
17.101,13.66,345.8
17.200,11.71,345.5
17.301,13.62,344.8
17.400,11.78,345.8
17.500,11.71,345.8
17.600,13.71,344.8
17.700,9.74,344.7
17.800,13.72,344.7
17.900,11.68,344.8
18.001,11.65,344.8
18.101,13.70,345.6
18.200,11.78,344.7
18.300,13.70,344.8
18.401,11.59,344.6
18.500,11.85,345.8
18.600,13.70,344.7
18.700,11.21,345.6
18.800,13.94,345.2
18.900,11.79,345.8
19.000,11.94,344.7
19.100,13.66,344.7
19.200,11.70,344.8
19.301,11.68,344.8
19.401,11.69,344.7
19.501,11.75,345.8
19.601,13.66,344.7
19.700,11.53,344.7
19.801,13.94,344.8
19.901,11.72,344.7
20.000,11.71,344.7
20.100,13.64,344.8
20.200,11.75,344.7
20.300,13.66,344.8
20.400,11.74,344.7
20.500,11.75,344.8
20.600,13.69,344.6
20.700,11.62,344.8
20.800,13.71,345.2
20.900,11.71,345.5
21.000,11.76,344.8
21.100,13.64,345.6
21.200,11.75,344.8
21.300,13.65,344.8
21.400,11.69,344.7
21.500,11.75,344.7
21.600,13.65,344.7
21.721,7.76,345.8
21.802,11.64,344.7
21.900,10.61,344.8
22.000,9.96,345.3
22.100,13.62,345.1
22.200,11.74,344.8
22.300,11.71,344.7
22.400,11.69,344.8
22.500,11.76,345.3
22.601,13.64,344.8
22.701,11.71,345.8
22.800,13.76,344.7
22.900,11.66,344.8
23.001,11.64,344.8
23.101,13.71,344.8
23.201,11.74,344.7
23.301,13.65,344.7
23.401,11.71,344.7
23.501,11.65,345.5
23.600,13.80,345.1
23.700,11.70,345.8
23.800,13.70,344.7
23.900,11.68,344.7
24.000,11.75,344.7
24.100,13.68,345.1
24.200,11.74,344.6
24.301,13.64,344.8
24.401,11.71,344.7
24.501,11.70,344.7
24.601,13.68,345.0
24.701,11.74,344.8
24.801,13.64,344.7
24.900,11.75,345.2
25.000,11.71,345.3
25.100,13.69,344.7
25.200,11.72,344.8
25.300,13.69,344.6
25.400,11.65,344.6
25.500,11.76,344.8
25.601,13.61,344.8
25.701,11.70,345.3
25.800,13.78,345.8
25.900,11.75,345.8
26.000,11.71,344.7
26.100,13.65,344.8
26.200,11.74,344.7
26.301,13.57,345.7
26.400,11.36,345.8
26.500,12.14,344.7
26.600,13.50,344.8
26.700,11.72,345.7
26.800,13.86,345.1
26.901,11.61,344.7
27.001,11.75,344.7
27.101,13.45,344.8
27.200,11.94,344.8
27.300,13.69,344.8
27.400,11.64,344.7
27.500,11.54,344.6
27.601,11.94,345.8
27.700,11.71,345.3
27.800,13.68,344.7
27.900,11.44,344.8
28.001,11.07,344.8
28.100,12.57,344.8
28.201,11.66,345.4
28.301,13.70,344.7
28.401,11.53,344.7
28.501,13.79,344.7
28.600,11.85,345.5
28.700,11.69,345.7
28.800,13.50,344.7
28.900,11.72,344.7
29.000,13.93,345.8
29.100,11.94,344.7
29.200,8.06,344.7
29.310,6.11,344.7
29.418,12.25,344.7
29.500,7.14,344.7
29.601,13.14,344.7
29.701,11.68,344.8
29.801,13.61,345.8
29.900,11.76,344.8
30.000,13.45,344.8
30.100,11.76,344.8
30.200,13.15,344.7
30.302,11.95,344.7
30.400,11.79,345.6
30.500,13.43,344.8
30.600,12.20,344.7
30.700,11.41,345.3
30.800,13.64,344.7
30.900,11.61,344.8
31.000,13.66,344.7
31.100,11.99,344.8
31.200,11.40,344.7
31.301,11.96,344.7
31.401,11.45,344.8
31.500,12.20,344.7
31.600,13.68,344.8
31.700,11.65,344.9
31.801,12.64,345.2
31.901,12.94,344.7
32.001,13.19,344.8
32.101,12.18,345.5
32.201,13.06,344.6
32.300,11.90,344.8
32.400,11.94,345.0
32.500,13.39,344.6
32.600,12.11,345.6
32.700,12.84,345.8
32.800,12.10,344.8
32.900,12.18,344.8
33.000,11.64,345.5
33.100,13.39,344.7
33.200,11.66,344.8
33.300,13.79,344.8
33.400,11.95,344.8
33.501,13.41,345.8
33.601,11.99,344.7
33.701,13.09,344.7
33.800,12.29,345.1
33.920,12.22,345.3
34.003,9.20,344.7
34.100,13.18,345.8
34.201,9.78,344.7
34.301,13.39,344.9
34.400,12.19,344.8
34.500,11.64,345.5
34.600,13.70,344.7
34.700,11.62,344.7
34.801,13.80,344.8
34.900,11.76,344.6
35.000,9.74,345.6
35.100,13.60,345.3
35.201,11.74,345.8
35.301,13.32,344.8
35.401,11.55,344.6
35.500,12.20,344.7
35.600,13.55,344.7
35.701,11.47,344.7
35.800,14.01,344.8
35.900,9.76,344.8
36.000,11.74,345.5
36.101,11.44,344.7
36.201,12.00,345.6
36.301,13.78,344.7
36.408,12.46,344.7
36.518,10.60,344.7
36.632,8.41,344.8
36.702,10.07,344.8
36.801,13.41,344.8
36.900,11.81,344.8
37.001,11.72,344.8
37.101,13.54,344.7
37.201,11.94,344.7
37.301,13.61,344.8
37.401,11.51,345.8
37.501,11.86,344.6
37.601,13.56,344.8
37.701,11.41,344.8
37.801,14.07,345.0
37.900,11.72,344.8
38.000,13.60,344.7
38.100,11.72,345.8
38.200,11.57,345.1
38.300,11.99,345.0
38.401,11.53,344.7
38.501,13.89,344.7
38.600,11.72,344.8
38.700,11.44,344.7
38.800,14.15,344.7
38.900,11.53,344.8
39.000,11.93,344.7
39.100,13.64,344.7
39.200,11.69,344.8
39.300,13.70,344.7
39.400,9.86,344.8
39.500,13.41,344.7
39.600,11.89,344.7
39.700,11.72,345.1
39.800,13.64,344.8
39.900,11.80,344.7
40.001,13.38,344.8
40.100,11.78,345.8
40.201,11.60,344.7
40.301,11.94,344.7
40.400,11.72,345.5
40.500,11.70,344.7
40.600,13.76,345.7
40.701,13.05,344.7
40.800,12.16,344.8
40.900,11.75,344.7
41.000,11.79,344.7
41.100,13.53,344.8
41.200,11.91,345.8
41.300,13.69,344.6
41.401,11.66,344.7
41.500,11.78,344.8
41.601,13.57,344.8
41.701,11.68,345.4
41.801,13.57,344.8
41.900,11.76,344.8
42.000,11.85,345.6
42.101,13.57,344.8
42.200,11.82,344.6
42.300,13.69,344.7
42.400,11.70,344.6
42.500,11.64,344.8
42.600,13.75,345.1
