time_s,cpu_percent,rss_mb
5.000,13.66,339.5
5.101,11.74,339.5
5.201,13.64,340.4
5.301,11.74,339.5
5.400,11.72,339.5
5.501,13.44,339.4
5.601,11.86,339.4
5.701,13.69,339.4
5.801,11.70,339.4
5.901,11.72,339.4
6.001,13.68,339.4
6.101,11.72,339.5
6.201,13.66,339.4
6.301,11.72,339.5
6.401,11.75,340.4
6.501,13.57,339.4
6.601,11.82,339.9
6.701,13.69,339.6
6.801,11.69,340.5
6.901,11.72,339.4
7.000,13.69,340.3
7.101,11.72,339.4
7.201,13.68,339.4
7.301,11.72,339.5
7.401,11.71,339.9
7.501,13.55,339.5
7.601,11.85,339.4
7.701,13.68,339.4
7.801,11.70,339.6
7.901,11.72,339.5
8.001,13.66,339.9
8.101,11.74,339.4
8.201,13.64,339.6
8.300,11.75,339.4
8.401,11.70,339.7
8.501,13.53,340.2
8.601,11.86,339.5
8.701,13.68,339.5
8.801,11.70,339.9
8.900,11.75,339.4
9.000,13.64,339.4
9.101,11.74,339.4
9.201,13.64,340.5
9.301,11.76,340.5
9.400,11.71,339.4
9.501,13.51,339.4
9.601,11.85,339.4
9.700,13.66,340.5
9.800,11.71,339.5
9.900,11.71,339.5
10.001,13.66,339.7
10.100,11.74,339.5
10.201,13.65,339.5
10.301,11.71,339.7
10.401,11.70,340.4
10.501,13.56,339.4
10.601,11.84,340.0
10.700,13.74,339.5
10.800,11.70,339.5
10.900,11.72,339.4
11.000,13.69,339.7
11.100,11.71,339.5
11.200,13.62,340.2
11.301,11.75,339.4
11.401,11.71,339.4
11.501,13.53,339.5
11.601,11.84,339.5
11.701,13.69,339.4
11.801,11.69,339.8
11.901,11.72,339.5
12.001,13.68,339.4
12.101,11.69,339.5
12.201,13.70,339.9
12.300,11.74,339.4
12.401,11.70,339.4
12.500,13.57,339.5
12.600,11.85,339.5
12.700,13.69,339.5
12.800,11.71,339.4
12.900,9.74,339.7
13.000,13.69,339.4
13.100,11.71,339.5
13.200,13.69,339.4
13.300,11.30,339.5
13.400,12.18,339.4
13.500,13.53,339.5
13.600,11.86,340.5
13.700,13.69,339.4
13.800,11.72,339.4
13.900,11.70,339.4
14.001,13.61,339.4
14.101,11.70,339.5
14.201,13.68,339.5
14.301,11.72,339.4
14.401,11.70,339.9
14.501,13.49,340.5
14.601,11.85,339.4
14.700,13.80,339.5
14.800,11.53,339.4
14.900,11.90,339.5
15.000,13.66,339.7
15.100,11.75,339.4
15.200,13.61,339.8
15.300,11.74,339.4
15.400,11.72,339.5
15.501,13.43,339.4
15.600,9.95,340.5
15.700,13.66,340.3
15.801,11.65,339.9
15.901,11.74,339.4
16.001,13.68,339.6
16.101,11.71,339.6
16.201,13.65,339.8
16.301,11.76,339.4
16.400,11.75,339.4
16.501,13.50,339.9
16.600,11.86,339.4
16.700,13.72,339.4
16.800,11.68,339.8
16.901,11.69,339.4
17.001,13.68,339.4
17.101,11.72,339.4
17.201,13.66,339.4
17.301,11.71,339.4
17.401,11.70,339.4
17.501,13.54,339.4
17.601,11.86,339.4
17.701,13.65,340.5
17.801,11.72,339.5
17.901,11.72,339.4
18.001,13.65,339.5
18.101,11.55,339.5
18.201,11.86,340.4
18.301,11.72,340.1
18.400,11.79,339.5
18.500,11.59,339.4
18.600,11.86,339.5
18.700,13.66,340.2
18.801,11.65,340.5
18.901,11.72,339.4
19.001,13.29,340.5
19.101,11.66,339.5
19.201,12.15,339.4
19.301,9.78,340.5
19.401,11.30,339.4
19.501,4.01,339.4
19.601,11.82,339.5
19.700,15.36,339.5
19.801,7.97,339.4
19.900,11.74,340.1
20.001,13.66,339.4
20.101,11.72,339.4
20.201,13.65,339.4
20.301,11.71,340.5
20.401,11.75,339.4
20.501,13.53,339.5
20.601,11.86,339.5
20.701,13.26,339.4
20.801,12.05,340.5
20.901,11.70,339.7
21.000,13.78,339.5
21.100,11.70,339.9
21.200,13.69,339.5
21.300,11.71,339.4
21.400,11.72,339.4
21.501,13.49,339.5
21.600,11.89,339.4
21.700,13.69,339.5
21.801,11.64,339.5
21.901,11.70,340.2
22.001,13.66,340.4
22.101,11.75,339.5
22.201,13.68,339.5
22.301,11.70,339.7
22.401,11.72,339.4
22.501,13.49,339.7
22.600,11.94,339.5
22.700,13.69,339.4
22.800,11.70,339.7
22.900,11.72,339.5
23.000,13.69,339.4
23.101,11.66,340.1
23.200,13.72,339.8
23.300,11.62,339.5
23.401,9.81,339.5
23.500,7.38,339.4
23.601,8.26,339.5
23.701,13.75,339.4
23.801,9.49,339.5
23.901,11.99,339.5
24.001,13.75,339.4
24.101,11.62,339.6
24.201,11.76,340.5
24.301,5.88,339.4
24.401,11.29,339.5
24.501,9.78,339.5
24.601,12.18,339.5
24.701,13.29,339.5
24.801,12.00,339.4
24.901,7.85,339.7
25.001,13.57,340.0
25.100,11.79,339.4
25.200,13.80,339.5
25.300,11.34,339.5
25.400,11.35,339.9
25.500,12.41,339.4
25.601,11.78,339.5
25.700,13.70,339.5
25.800,11.74,339.4
25.901,11.65,339.9
26.000,13.76,339.5
26.101,11.66,339.5
26.201,13.66,339.5
26.301,11.68,340.5
26.400,11.79,339.5
26.500,13.56,339.4
26.601,11.75,339.6
26.701,13.68,339.4
26.801,11.69,340.4
26.901,11.75,339.4
27.001,13.68,339.4
27.101,11.72,339.4
27.201,13.70,339.5
27.301,11.71,339.4
27.401,11.69,340.5
27.500,13.57,339.5
27.601,11.82,339.4
27.701,13.66,339.4
27.801,11.72,340.1
27.901,11.74,339.4
28.001,13.65,339.4
28.101,11.71,339.4
28.201,13.66,340.1
28.301,11.74,339.5
28.401,11.71,340.1
28.501,13.55,339.4
28.601,11.84,339.4
28.701,13.62,339.6
28.801,11.71,339.4
28.901,11.71,339.6
29.000,13.74,339.4
29.101,11.69,339.4
29.200,13.74,339.6
29.300,11.72,339.4
29.400,11.71,339.4
29.501,13.46,339.4
29.601,11.81,339.4
29.701,13.68,339.4
29.801,11.76,339.7
29.900,11.76,339.5
30.001,13.50,339.5
30.101,11.79,339.7
30.201,13.68,340.1
30.300,11.75,340.5
30.400,11.74,339.5
30.500,13.51,339.8
30.601,11.84,339.4
30.701,13.65,339.4
30.801,11.75,339.4
30.900,13.29,339.5
31.001,5.99,339.5
31.100,11.82,340.5
31.200,13.16,339.5
31.300,10.16,339.5
31.401,11.68,339.4
31.500,13.04,340.4
31.600,10.29,340.5
31.701,9.78,339.5
31.801,9.19,339.9
31.900,10.41,339.4
32.000,9.71,339.5
32.100,9.54,339.5
32.200,14.09,339.4
32.300,9.76,339.4
32.401,11.47,339.4
32.500,9.24,340.2
32.601,12.68,340.5
32.701,11.36,339.5
32.800,12.11,339.5
32.901,11.68,340.1
33.001,13.68,339.7
33.100,11.81,339.4
33.200,13.66,340.6
33.301,11.65,339.5
33.400,11.80,339.5
33.500,13.46,340.6
33.600,11.90,339.5
33.700,13.70,339.5
33.800,11.71,339.4
33.901,11.65,339.5
34.001,13.68,339.5
34.100,11.75,339.4
34.200,13.60,339.4
34.300,11.75,339.5
34.401,11.66,340.6
34.501,11.57,340.1
34.601,11.91,339.4
34.701,13.68,339.4
34.801,11.69,340.4
34.901,11.74,339.5
35.001,13.68,339.4
35.101,11.72,339.5
35.201,13.69,339.5
35.301,11.71,339.4
35.401,11.74,339.4
35.501,13.47,339.4
35.601,11.89,340.6
35.701,13.71,339.4
35.801,11.69,339.8
35.901,11.69,339.4
36.001,13.68,339.4
36.100,11.84,339.4
36.200,13.64,340.2
36.300,11.70,340.6
36.400,11.74,339.5
36.501,13.44,339.4
36.601,11.88,339.9
36.701,13.66,339.4
36.800,11.74,339.9
36.900,11.72,339.6
37.000,13.70,339.5
37.100,11.72,339.4
37.201,13.50,339.5
37.301,11.79,340.0
37.401,11.72,339.5
37.501,13.51,339.4
37.601,11.89,340.2
