pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,17110.896966,17111.004915,0.107949,107.949
1,17112.895234,17113.003279,0.108044,108.044
2,17114.892653,17114.916666,0.024013,24.013
3,17116.891844,17116.999866,0.108022,108.022
4,17118.894140,17119.001622,0.107482,107.482
5,17120.896688,17121.003993,0.107306,107.306
6,17122.894165,17123.000833,0.106668,106.668
7,17124.896679,17125.004743,0.108064,108.064
8,17126.894557,17127.001527,0.106970,106.970
9,17128.892422,17129.006334,0.113912,113.912
10,17130.894379,17130.912369,0.017989,17.989
11,17132.894318,17133.001287,0.106969,106.969
12,17134.897474,17134.998955,0.101481,101.481
13,17136.895175,17137.002642,0.107467,107.467
14,17138.895116,17139.002843,0.107728,107.728
15,17140.893349,17141.000751,0.107402,107.402
16,17142.896553,17143.004111,0.107558,107.558
17,17144.892348,17145.000811,0.108463,108.463
18,17146.896720,17146.908840,0.012120,12.120
19,17148.896915,17149.005043,0.108129,108.129
20,17150.896744,17151.003887,0.107144,107.144
21,17152.894416,17153.002404,0.107988,107.988
22,17154.891969,17155.005950,0.113981,113.981
23,17156.894224,17157.000728,0.106504,106.504
24,17158.892613,17159.000259,0.107646,107.646
25,17160.893386,17161.000432,0.107046,107.046
26,17162.896447,17162.908485,0.012038,12.038
27,17164.892795,17165.006783,0.113988,113.988
28,17166.892290,17167.000264,0.107974,107.974
29,17168.896605,17169.004096,0.107491,107.491
30,17170.894507,17171.002536,0.108029,108.029
31,17172.891575,17172.999659,0.108084,108.084
32,17174.891911,17175.006018,0.114107,114.107
