pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,17196.897014,17197.004200,0.107185,107.185
1,17198.894513,17199.002228,0.107715,107.715
2,17200.897281,17201.004288,0.107007,107.007
3,17202.891951,17203.004844,0.112894,112.894
4,17204.892103,17205.000110,0.108007,108.007
5,17206.894794,17207.002225,0.107431,107.431
6,17208.891985,17209.006212,0.114227,114.227
7,17210.895002,17210.913014,0.018012,18.012
8,17212.891894,17213.005954,0.114060,114.060
9,17214.897301,17215.004515,0.107214,107.214
10,17216.892681,17217.000635,0.107954,107.954
11,17218.895068,17219.003078,0.108010,108.010
12,17220.892517,17221.000514,0.107997,107.997
13,17222.894171,17223.001891,0.107720,107.720
14,17224.892113,17225.000154,0.108042,108.042
15,17226.892076,17226.910120,0.018044,18.044
16,17228.896988,17229.004635,0.107647,107.647
17,17230.896283,17231.002528,0.106245,106.245
18,17232.894351,17233.002272,0.107921,107.921
19,17234.895836,17235.003767,0.107931,107.931
20,17236.894370,17237.002433,0.108063,108.063
21,17238.893861,17239.006930,0.113069,113.069
22,17240.893956,17241.001837,0.107881,107.881
23,17242.892021,17242.909987,0.017966,17.966
24,17244.895864,17245.003850,0.107986,107.986
25,17246.896141,17246.998725,0.102584,102.584
26,17248.894137,17249.002102,0.107965,107.965
27,17250.895392,17251.003014,0.107622,107.622
28,17252.892390,17253.000342,0.107952,107.952
29,17254.896673,17255.005029,0.108357,108.357
30,17256.892478,17257.005945,0.113467,113.467
31,17258.894038,17258.912052,0.018014,18.014
32,17260.896169,17261.004236,0.108067,108.067
33,17262.891689,17263.004951,0.113262,113.262
