pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,16672.897217,16673.004505,0.107287,107.287
1,16674.896859,16675.004840,0.107982,107.982
2,16676.892103,16676.999678,0.107576,107.576
3,16678.892242,16679.008201,0.115959,115.959
4,16680.892605,16681.000762,0.108158,108.158
5,16682.893716,16682.911706,0.017990,17.990
6,16684.892756,16685.000843,0.108088,108.088
7,16686.893653,16687.001637,0.107984,107.984
8,16688.895165,16689.003004,0.107838,107.838
9,16690.894444,16691.002496,0.108052,108.052
10,16692.896139,16693.004146,0.108007,108.007
11,16694.892687,16695.000175,0.107488,107.488
12,16696.895574,16697.002941,0.107367,107.367
13,16698.893997,16698.911899,0.017902,17.902
14,16700.892968,16701.000054,0.107086,107.086
15,16702.892594,16703.000594,0.108000,108.000
16,16704.896212,16705.004194,0.107982,107.982
17,16706.894272,16707.002231,0.107959,107.959
18,16708.894261,16709.008577,0.114316,114.316
19,16710.894203,16711.000708,0.106505,106.505
20,16712.891707,16712.999843,0.108136,108.136
21,16714.897454,16714.909438,0.011984,11.984
22,16716.896987,16717.005432,0.108445,108.445
23,16718.893423,16719.004597,0.111174,111.174
24,16720.893960,16721.033967,0.140007,140.007
25,16722.896703,16723.004244,0.107541,107.541
26,16724.893285,16725.000632,0.107347,107.347
27,16726.892593,16727.005235,0.112642,112.642
28,16728.894868,16729.034823,0.139955,139.955
29,16730.896414,16730.908459,0.012045,12.045
30,16732.897239,16733.004083,0.106844,106.844
31,16734.892935,16735.000392,0.107457,107.457
32,16736.894071,16737.007525,0.113454,113.454
