pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,17284.893790,17285.000802,0.107013,107.013
1,17286.892473,17287.005991,0.113518,113.518
2,17288.893756,17289.000761,0.107005,107.005
3,17290.894932,17290.906897,0.011965,11.965
4,17292.896192,17293.004211,0.108019,108.019
5,17294.892541,17295.000002,0.107461,107.461
6,17296.893701,17297.001680,0.107980,107.980
7,17298.893986,17299.000964,0.106978,106.978
8,17300.896359,17300.998217,0.101858,101.858
9,17302.892207,17303.005740,0.113533,113.533
10,17304.892420,17305.005958,0.113538,113.538
11,17306.894764,17306.912760,0.017996,17.996
12,17308.892165,17309.005690,0.113525,113.525
13,17310.894449,17311.002329,0.107880,107.880
14,17312.896066,17313.001671,0.105605,105.605
15,17314.892577,17315.005941,0.113364,113.364
16,17316.894789,17317.002229,0.107440,107.440
17,17318.896195,17319.004186,0.107991,107.991
18,17320.892952,17321.000191,0.107239,107.239
19,17322.895364,17322.913357,0.017993,17.993
20,17324.893872,17325.001390,0.107518,107.518
21,17326.892415,17326.999757,0.107342,107.342
22,17328.892941,17329.006909,0.113968,113.968
23,17330.892037,17331.005630,0.113593,113.593
24,17332.894963,17333.002575,0.107613,107.613
25,17334.892043,17335.005526,0.113482,113.482
26,17336.892190,17336.999721,0.107531,107.531
27,17338.893666,17338.911652,0.017986,17.986
28,17340.892986,17341.001026,0.108040,108.040
29,17342.893937,17343.001970,0.108033,108.033
30,17344.895535,17345.003660,0.108125,108.125
31,17346.892787,17347.005389,0.112602,112.602
32,17348.893563,17349.001101,0.107539,107.539
33,17350.892847,17351.006200,0.113354,113.354
