pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,16498.893977,16499.007093,0.113116,113.116
1,16500.894479,16501.001984,0.107505,107.505
2,16502.895859,16503.003859,0.108000,108.000
3,16504.891993,16504.999922,0.107930,107.930
4,16506.901770,16506.907769,0.005999,5.999
5,16508.891888,16509.005980,0.114092,114.092
6,16510.892098,16510.999949,0.107851,107.851
7,16512.897137,16513.004105,0.106967,106.967
8,16514.891958,16514.999866,0.107908,107.908
9,16516.893979,16517.000853,0.106874,106.874
10,16518.893677,16519.186048,0.292371,292.371
11,16520.891796,16520.999757,0.107961,107.961
12,16522.892466,16522.910423,0.017956,17.956
13,16524.896385,16525.004135,0.107750,107.750
14,16526.896119,16527.004248,0.108130,108.130
15,16528.891894,16529.000206,0.108312,108.312
16,16530.892556,16531.012944,0.120387,120.387
17,16532.899839,16533.001427,0.101589,101.589
18,16534.896098,16535.004101,0.108003,108.003
19,16536.893672,16537.001774,0.108102,108.102
20,16538.892147,16538.910159,0.018012,18.012
21,16540.891861,16541.005879,0.114018,114.018
22,16542.896082,16543.004036,0.107953,107.953
23,16544.897060,16545.004199,0.107139,107.139
24,16546.891885,16547.005929,0.114044,114.044
25,16548.894628,16549.007705,0.113077,113.077
26,16550.895810,16551.004175,0.108365,108.365
27,16552.895018,16553.007553,0.112535,112.535
28,16554.895103,16554.906802,0.011699,11.699
29,16556.895443,16557.003452,0.108009,108.009
30,16558.897388,16558.998869,0.101481,101.481
31,16560.891682,16561.005728,0.114046,114.046
32,16562.893792,16563.001643,0.107851,107.851
