path,workflow,ttfp_s,latency_p50_ms,latency_p95_ms,fps,throughput_sps,dropped_pct,cpu_avg,cpu_max,rss_avg_mb,rss_max_mb,n_frames,n_param_changes
runs/W2\20250829_175533.csv,W?,0.065134699922055,33.41799997724593,49.74729986861348,8.230943651357233,232424.5,0.0,13.162941176470587,40.1,268.7294117647059,269.0,497,0
runs/W2\20250829_175723.csv,W?,0.06361540011130273,33.477050019428134,49.28579996339977,8.210218657079766,232438.0,0.0,14.578106508875738,52.5,269.76331360946745,276.0,492,0
runs/W2\20250829_175858.csv,W?,0.05452029989100993,33.27619994524866,50.48549990169704,8.223286585140634,232618.0,0.0,12.930952380952382,29.3,270.67261904761904,271.0,490,0
runs/W2\20250829_180033.csv,W?,0.08066490013152361,33.552000066265464,48.302399925887585,8.413167350065969,233499.0,0.0,13.081176470588236,41.2,271.63529411764705,272.0,504,0
runs/W2\20250829_180158.csv,W?,0.0658209000248462,33.52219983935356,48.51410002447665,8.072944148568867,231971.5,0.0,14.140116279069767,35.5,268.90697674418607,272.0,495,0
runs/W2\20250829_180338.csv,W?,0.1337490000296384,33.92539988271892,49.468399956822395,8.358368956388594,232964.5,0.0,15.485964912280702,34.4,268.67836257309943,269.0,507,0
runs/W2\20250829_180503.csv,W?,0.10266799991950393,36.45559982396662,62.4762000516057,7.886329269564231,229065.0,0.0,27.141916167664668,83.5,268.76047904191614,269.0,471,0
runs/W2\20250829_180628.csv,W?,0.051840499974787235,33.636200008913875,50.97620002925396,8.280007993874811,231972.0,0.0,13.955882352941176,31.0,269.68823529411765,270.0,499,0
runs/W2\20250829_180758.csv,W?,0.20506499987095594,33.384400070644915,47.05650010146201,8.228268600985745,232320.0,0.0,11.994674556213017,32.9,269.72189349112426,270.0,496,0
runs/W2\20250829_180938.csv,W?,0.10744779999367893,33.35250006057322,48.62340004183352,8.422505820160854,232796.0,0.0,13.102906976744185,39.1,269.93023255813955,271.0,513,0
