pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,18811.137856,18811.261560,0.123704,123.704
1,18813.140370,18813.266224,0.125854,125.854
2,18815.140809,18815.267791,0.126983,126.983
3,18817.141859,18817.255957,0.114097,114.097
4,18819.141390,18819.255561,0.114170,114.170
5,18821.140929,18821.302426,0.161497,161.497
6,18823.138831,18823.162099,0.023267,23.267
7,18825.140905,18825.263333,0.122428,122.428
8,18827.137943,18827.259819,0.121876,121.876
9,18829.143270,18829.263575,0.120306,120.306
10,18831.140468,18831.261982,0.121514,121.514
11,18833.137963,18833.268240,0.130277,130.277
12,18835.139824,18835.162686,0.022862,22.862
13,18837.141980,18837.254474,0.112494,112.494
14,18839.140006,18839.157378,0.017372,17.372
15,18841.138467,18841.265226,0.126759,126.759
16,18843.142918,18843.154500,0.011582,11.582
17,18845.139858,18845.157989,0.018131,18.131
18,18847.139803,18847.162866,0.023062,23.062
19,18849.139313,18849.264928,0.125614,125.614
20,18851.140728,18851.286046,0.145318,145.318
21,18853.139505,18853.271286,0.131781,131.781
22,18855.142831,18855.171431,0.028601,28.601
23,18857.137821,18857.167967,0.030147,30.147
24,18859.138872,18859.168098,0.029225,29.225
25,18861.140659,18861.163577,0.022919,22.919
26,18863.138127,18863.162162,0.024035,24.035
27,18865.138849,18865.162493,0.023644,23.644
28,18867.139504,18867.163007,0.023503,23.503
29,18869.140740,18869.170125,0.029385,29.385
30,18871.141512,18871.261453,0.119941,119.941
31,18873.137384,18873.257578,0.120193,120.193
32,18875.143721,18875.392195,0.248474,248.474
