pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,19247.142965,19247.154893,0.011928,11.928
1,19249.142482,19249.264847,0.122365,122.365
2,19251.142123,19251.255678,0.113554,113.554
3,19253.140552,19253.164680,0.024128,24.128
4,19255.140994,19255.158977,0.017983,17.983
5,19257.139540,19257.156995,0.017454,17.454
6,19259.142086,19259.264606,0.122520,122.520
7,19261.137650,19261.154943,0.017293,17.293
8,19263.139645,19263.267737,0.128092,128.092
9,19265.137718,19265.167105,0.029387,29.387
10,19267.137867,19267.155476,0.017609,17.609
11,19269.138985,19269.266286,0.127302,127.302
12,19271.138569,19271.156215,0.017646,17.646
13,19273.140160,19273.268845,0.128685,128.685
14,19275.139578,19275.157632,0.018054,18.054
15,19277.140878,19277.158792,0.017914,17.914
16,19279.140422,19279.277483,0.137061,137.061
17,19281.140650,19281.256489,0.115839,115.839
18,19283.137905,19283.259322,0.121417,121.417
19,19285.140978,19285.280397,0.139419,139.419
20,19287.137518,19287.271261,0.133743,133.743
21,19289.138590,19289.161980,0.023390,23.390
22,19291.139639,19291.255122,0.115483,115.483
23,19293.139175,19293.261680,0.122505,122.505
24,19295.141701,19295.153645,0.011944,11.944
25,19297.141009,19297.268393,0.127384,127.384
26,19299.141791,19299.258404,0.116613,116.613
27,19301.141715,19301.153679,0.011964,11.964
28,19303.139216,19303.157300,0.018084,18.084
29,19305.141087,19305.152849,0.011762,11.762
30,19307.140062,19307.290512,0.150450,150.450
31,19309.137957,19309.258802,0.120844,120.844
32,19311.142789,19311.255847,0.113058,113.058
33,19313.141758,19313.260018,0.118259,118.259
