pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,19073.137795,19073.262689,0.124894,124.894
1,19075.138854,19075.268272,0.129418,129.418
2,19077.140705,19077.152565,0.011860,11.860
3,19079.142121,19079.188643,0.046521,46.521
4,19081.139827,19081.188090,0.048263,48.263
5,19083.141801,19083.252935,0.111134,111.134
6,19085.141938,19085.165106,0.023168,23.168
7,19087.140571,19087.157828,0.017257,17.257
8,19089.140193,19089.256599,0.116406,116.406
9,19091.141600,19091.268329,0.126729,126.729
10,19093.140561,19093.273716,0.133155,133.155
11,19095.138069,19095.260173,0.122104,122.104
12,19097.142728,19097.160100,0.017371,17.371
13,19099.143800,19099.267777,0.123977,123.977
14,19101.138984,19101.269940,0.130956,130.956
15,19103.141540,19103.152959,0.011419,11.419
16,19105.141166,19105.153189,0.012023,12.023
17,19107.138658,19107.162430,0.023772,23.772
18,19109.140925,19109.170174,0.029249,29.249
19,19111.140494,19111.200274,0.059780,59.780
20,19113.140836,19113.157813,0.016976,16.976
21,19115.140463,19115.260087,0.119624,119.624
22,19117.141396,19117.165055,0.023659,23.659
23,19119.138743,19119.258370,0.119627,119.627
24,19121.140942,19121.170243,0.029301,29.301
25,19123.139828,19123.163359,0.023531,23.531
26,19125.139365,19125.264220,0.124855,124.855
27,19127.137867,19127.282628,0.144761,144.761
28,19129.143930,19129.167794,0.023864,23.864
29,19131.142030,19131.261652,0.119622,119.622
30,19133.142547,19133.154676,0.012129,12.129
31,19135.140261,19135.157532,0.017271,17.271
32,19137.141787,19137.159389,0.017602,17.602
33,19139.139794,19139.252775,0.112982,112.982
