pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,19161.141078,19161.267426,0.126348,126.348
1,19163.143643,19163.173302,0.029659,29.659
2,19165.138266,19165.260491,0.122226,122.226
3,19167.140631,19167.170646,0.030015,30.015
4,19169.141139,19169.158959,0.017820,17.820
5,19171.140057,19171.259473,0.119416,119.416
6,19173.141792,19173.255926,0.114134,114.134
7,19175.138520,19175.168245,0.029725,29.725
8,19177.142319,19177.261842,0.119522,119.522
9,19179.140458,19179.272979,0.132521,132.521
10,19181.138511,19181.280289,0.141778,141.778
11,19183.141427,19183.265515,0.124088,124.088
12,19185.138473,19185.260653,0.122180,122.180
13,19187.138458,19187.156111,0.017653,17.653
14,19189.139866,19189.169153,0.029288,29.288
15,19191.138197,19191.273143,0.134946,134.946
16,19193.138101,19193.256558,0.118457,118.457
17,19195.143657,19195.256757,0.113100,113.100
18,19197.142314,19197.259846,0.117532,117.532
19,19199.144199,19199.161420,0.017222,17.222
20,19201.142172,19201.255014,0.112842,112.842
21,19203.137800,19203.161825,0.024025,24.025
22,19205.138608,19205.257241,0.118633,118.633
23,19207.141712,19207.153651,0.011940,11.940
24,19209.140041,19209.157801,0.017759,17.759
25,19211.137768,19211.155833,0.018065,18.065
26,19213.138664,19213.162583,0.023919,23.919
27,19215.138427,19215.271915,0.133488,133.488
28,19217.139611,19217.271590,0.131979,131.979
29,19219.138715,19219.269618,0.130904,130.904
30,19221.140337,19221.260663,0.120326,120.326
31,19223.143979,19223.167985,0.024006,24.006
32,19225.137671,19225.161809,0.024138,24.138
