pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,19423.137389,19423.261925,0.124536,124.536
1,19425.142734,19425.255683,0.112950,112.950
2,19427.141424,19427.159511,0.018087,18.087
3,19429.138144,19429.162217,0.024073,24.073
4,19431.137575,19431.259599,0.122024,122.024
5,19433.142203,19433.165592,0.023389,23.389
6,19435.138369,19435.259697,0.121328,121.328
7,19437.137706,19437.266756,0.129050,129.050
8,19439.141387,19439.256570,0.115183,115.183
9,19441.139684,19441.175640,0.035956,35.956
10,19443.141203,19443.183445,0.042243,42.243
11,19445.143369,19445.267753,0.124384,124.384
12,19447.139380,19447.157033,0.017653,17.653
13,19449.142135,19449.268523,0.126388,126.388
14,19451.140170,19451.262785,0.122614,122.614
15,19453.141885,19453.166094,0.024209,24.209
16,19455.140400,19455.298911,0.158512,158.512
17,19457.138064,19457.265185,0.127121,127.121
18,19459.139730,19459.259715,0.119985,119.985
19,19461.137375,19461.297436,0.160061,160.061
20,19463.140994,19463.269518,0.128524,128.524
21,19465.137898,19465.155903,0.018005,18.005
22,19467.142910,19467.255554,0.112645,112.645
23,19469.138273,19469.156497,0.018224,18.224
24,19471.140542,19471.255484,0.114942,114.942
25,19473.142611,19473.268075,0.125464,125.464
26,19475.141516,19475.153517,0.012001,12.001
27,19477.140196,19477.260279,0.120083,120.083
28,19479.140001,19479.158059,0.018058,18.058
29,19481.143177,19481.254927,0.111750,111.750
30,19483.143111,19483.257670,0.114559,114.559
31,19485.144202,19485.156188,0.011985,11.985
32,19487.141456,19487.159326,0.017870,17.870
