pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,18985.139631,18985.258595,0.118965,118.965
1,18987.143138,18987.265204,0.122066,122.066
2,18989.138196,18989.162270,0.024075,24.075
3,18991.140754,18991.263967,0.123213,123.213
4,18993.139614,18993.259638,0.120025,120.025
5,18995.139086,18995.157156,0.018070,18.070
6,18997.137650,18997.161756,0.024106,24.106
7,18999.142788,18999.154807,0.012018,12.018
8,19001.142270,19001.154243,0.011973,11.973
9,19003.142478,19003.154551,0.012073,12.073
10,19005.137298,19005.155325,0.018027,18.027
11,19007.138159,19007.168436,0.030278,30.278
12,19009.140006,19009.263635,0.123629,123.629
13,19011.138287,19011.264013,0.125725,125.725
14,19013.141674,19013.255847,0.114173,114.173
15,19015.140067,19015.261893,0.121826,121.826
16,19017.137437,19017.256477,0.119040,119.040
17,19019.138434,19019.257549,0.119115,119.115
18,19021.138595,19021.155739,0.017143,17.143
19,19023.142344,19023.154314,0.011970,11.970
20,19025.137915,19025.180153,0.042238,42.238
21,19027.140833,19027.158933,0.018100,18.100
22,19029.143063,19029.160992,0.017928,17.928
23,19031.141538,19031.159044,0.017506,17.506
24,19033.139107,19033.174526,0.035419,35.419
25,19035.138425,19035.156462,0.018037,18.037
26,19037.142443,19037.160027,0.017584,17.584
27,19039.142573,19039.154501,0.011927,11.927
28,19041.138541,19041.162537,0.023996,23.996
29,19043.141086,19043.262673,0.121587,121.587
30,19045.141012,19045.267670,0.126658,126.658
31,19047.138537,19047.257573,0.119037,119.037
32,19049.137868,19049.259258,0.121390,121.390
33,19051.141252,19051.268595,0.127344,127.344
