pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,18723.141557,18723.254334,0.112777,112.777
1,18725.138372,18725.156415,0.018043,18.043
2,18727.139330,18727.302400,0.163071,163.071
3,18729.138054,18729.258040,0.119986,119.986
4,18731.138800,18731.256773,0.117973,117.973
5,18733.138030,18733.257547,0.119517,119.517
6,18735.140514,18735.263744,0.123230,123.230
7,18737.138939,18737.264215,0.125277,125.277
8,18739.137648,18739.259403,0.121755,121.755
9,18741.137394,18741.263254,0.125860,125.860
10,18743.138641,18743.258073,0.119433,119.433
11,18745.137678,18745.282607,0.144929,144.929
12,18747.139850,18747.157232,0.017383,17.383
13,18749.140558,18749.157537,0.016979,16.979
14,18751.138631,18751.162614,0.023983,23.983
15,18753.137740,18753.161426,0.023687,23.687
16,18755.142740,18755.263075,0.120335,120.335
17,18757.141740,18757.257759,0.116019,116.019
18,18759.140003,18759.255990,0.115987,115.987
19,18761.139701,18761.263116,0.123415,123.415
20,18763.143306,18763.155309,0.012003,12.003
21,18765.140402,18765.253306,0.112904,112.904
22,18767.142265,18767.160169,0.017904,17.904
23,18769.142429,18769.183928,0.041499,41.499
24,18771.140768,18771.264165,0.123397,123.397
25,18773.138660,18773.265307,0.126647,126.647
26,18775.137646,18775.171796,0.034150,34.150
27,18777.138602,18777.155889,0.017287,17.287
28,18779.138374,18779.167920,0.029546,29.546
29,18781.139766,18781.260157,0.120391,120.391
30,18783.138593,18783.260097,0.121504,121.504
31,18785.141829,18785.159879,0.018050,18.050
32,18787.139507,18787.163590,0.024083,24.083
33,18789.140975,18789.290423,0.149448,149.448
