pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,19511.141610,19511.267923,0.126312,126.312
1,19513.139976,19513.272656,0.132680,132.680
2,19515.137665,19515.268457,0.130791,130.791
3,19517.142562,19517.154662,0.012100,12.100
4,19519.142895,19519.166920,0.024025,24.025
5,19521.141666,19521.271664,0.129998,129.998
6,19523.142774,19523.160765,0.017991,17.991
7,19525.139482,19525.273615,0.134133,134.133
8,19527.139734,19527.261547,0.121813,121.813
9,19529.138086,19529.254487,0.116401,116.401
10,19531.141172,19531.255846,0.114674,114.674
11,19533.141759,19533.261516,0.119757,119.757
12,19535.139752,19535.181863,0.042111,42.111
13,19537.139909,19537.169701,0.029792,29.792
14,19539.142993,19539.166196,0.023203,23.203
15,19541.140787,19541.158824,0.018037,18.037
16,19543.140766,19543.265761,0.124995,124.995
17,19545.141206,19545.278999,0.137792,137.792
18,19547.138488,19547.257548,0.119060,119.060
19,19549.141671,19549.279279,0.137608,137.608
20,19551.138732,19551.255644,0.116912,116.912
21,19553.140925,19553.273436,0.132511,132.511
22,19555.139796,19555.162975,0.023179,23.179
23,19557.144007,19557.256278,0.112270,112.270
24,19559.139540,19559.259073,0.119533,119.533
25,19561.140783,19561.254473,0.113690,113.690
26,19563.143011,19563.178862,0.035851,35.851
27,19565.140387,19565.152445,0.012058,12.058
28,19567.139478,19567.266705,0.127228,127.228
29,19569.137602,19569.252305,0.114703,114.703
30,19571.137919,19571.276365,0.138446,138.446
31,19573.139484,19573.157546,0.018062,18.062
32,19575.141624,19575.158160,0.016536,16.536
