pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,18899.142557,18899.159699,0.017142,17.142
1,18901.141333,18901.158533,0.017200,17.200
2,18903.140158,18903.253412,0.113254,113.254
3,18905.138010,18905.174198,0.036188,36.188
4,18907.137609,18907.167698,0.030089,30.089
5,18909.143095,18909.161139,0.018044,18.044
6,18911.140537,18911.181844,0.041307,41.307
7,18913.140448,18913.256586,0.116139,116.139
8,18915.137766,18915.155784,0.018019,18.019
9,18917.142121,18917.159746,0.017625,17.625
10,18919.143185,18919.172889,0.029705,29.705
11,18921.143040,18921.155020,0.011980,11.980
12,18923.137558,18923.255303,0.117746,117.746
13,18925.142526,18925.153898,0.011372,11.372
14,18927.140677,18927.158742,0.018065,18.065
15,18929.140538,18929.158121,0.017583,17.583
16,18931.140017,18931.169439,0.029422,29.422
17,18933.137417,18933.155596,0.018179,18.179
18,18935.137879,18935.173214,0.035335,35.335
19,18937.143012,18937.263827,0.120815,120.815
20,18939.140307,18939.253317,0.113010,113.010
21,18941.137657,18941.259199,0.121542,121.542
22,18943.141861,18943.256885,0.115024,115.024
23,18945.140158,18945.253433,0.113275,113.275
24,18947.141089,18947.258659,0.117570,117.570
25,18949.141109,18949.261173,0.120064,120.064
26,18951.142208,18951.154017,0.011809,11.809
27,18953.139030,18953.157025,0.017995,17.995
28,18955.137823,18955.155876,0.018053,18.053
29,18957.138810,18957.162965,0.024155,24.155
30,18959.140727,18959.261932,0.121205,121.205
31,18961.138561,18961.282874,0.144313,144.313
32,18963.140601,18963.157202,0.016601,16.601
