workflow,TTFP (s),Latency P50 (ms),Latency P95 (ms),FPS,Throughput (kS/s),Dropped (%),CPU avg (%),CPU max (%),RSS avg (MB),RSS max (MB)
W1,0.053498500026762486,34.57827499369159,50.77145004179329,8.142143903969252,232.3035,0.0,14.208270676691729,54.55,266.45483234714004,268.0
W2,0.0732429000781849,33.49962492939085,49.37709996011108,8.22960612617149,232.43125,0.0,13.559411764705882,37.3,269.70506439262095,270.5
W3,0.08220285002607852,54.58870000438765,64.622399979271,7.136595863147767,392.0565,0.0,15.7615237263073,42.599999999999994,267.06353793926047,270.0
