pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,20214.755171,20214.916446,0.161274,161.274
1,20216.757131,20216.769157,0.012025,12.025
2,20218.755715,20218.874030,0.118315,118.315
3,20220.760516,20220.772514,0.011998,11.998
4,20222.757504,20222.879759,0.122255,122.255
5,20224.758626,20224.882499,0.123873,123.873
6,20226.755182,20226.874876,0.119694,119.694
7,20228.756329,20228.876233,0.119904,119.904
8,20230.757363,20230.871580,0.114217,114.217
9,20232.760935,20232.872435,0.111500,111.500
10,20234.758104,20234.873645,0.115541,115.541
11,20236.757950,20236.880203,0.122252,122.252
12,20238.755116,20238.874671,0.119555,119.555
13,20240.758769,20240.782733,0.023965,23.965
14,20242.766044,20242.889040,0.122997,122.997
15,20244.754344,20244.875990,0.121646,121.646
16,20246.760452,20246.871214,0.110762,110.762
17,20248.757629,20248.886247,0.128618,128.618
18,20250.756116,20250.774169,0.018053,18.053
19,20252.755039,20252.778930,0.023892,23.892
20,20254.756278,20254.881952,0.125674,125.674
21,20256.758731,20256.770624,0.011893,11.893
22,20258.758908,20258.770896,0.011988,11.988
23,20260.757574,20260.884674,0.127100,127.100
24,20262.755022,20262.778432,0.023410,23.410
25,20264.758362,20264.884098,0.125736,125.736
26,20266.755130,20266.887218,0.132088,132.088
27,20268.759243,20268.771226,0.011983,11.983
28,20270.757818,20270.877416,0.119598,119.598
29,20272.757965,20272.870562,0.112597,112.597
30,20274.760065,20274.778034,0.017969,17.969
31,20276.756111,20276.774254,0.018143,18.143
32,20278.754948,20278.886994,0.132046,132.046
