pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,20300.754955,20300.898431,0.143476,143.476
1,20302.756632,20302.896495,0.139862,139.862
2,20304.757468,20304.887575,0.130107,130.107
3,20306.755771,20306.877897,0.122126,122.126
4,20308.757467,20308.769497,0.012030,12.030
5,20310.754601,20310.894704,0.140103,140.103
6,20312.754074,20312.771420,0.017346,17.346
7,20314.757370,20314.886771,0.129400,129.400
8,20316.757317,20316.879954,0.122637,122.637
9,20318.755183,20318.873611,0.118428,118.428
10,20320.756999,20320.780340,0.023341,23.341
11,20322.756321,20322.891198,0.134877,134.877
12,20324.756659,20324.869080,0.112422,112.422
13,20326.754295,20326.884674,0.130379,130.379
14,20328.758835,20328.788255,0.029419,29.419
15,20330.756795,20330.779866,0.023070,23.070
16,20332.755150,20332.772515,0.017365,17.365
17,20334.757356,20334.780070,0.022714,22.714
18,20336.759109,20336.771113,0.012004,12.004
19,20338.760020,20338.884385,0.124365,124.365
20,20340.759205,20340.795308,0.036103,36.103
21,20342.757273,20342.774442,0.017168,17.168
22,20344.756279,20344.870043,0.113764,113.764
23,20346.755508,20346.884514,0.129006,129.006
24,20348.759112,20348.886238,0.127125,127.125
25,20350.755628,20350.876008,0.120380,120.380
26,20352.756564,20352.875860,0.119296,119.296
27,20354.757234,20354.769264,0.012030,12.030
28,20356.756264,20356.779296,0.023032,23.032
29,20358.758426,20358.872184,0.113759,113.759
30,20360.754670,20360.778688,0.024018,24.018
31,20362.754706,20362.871207,0.116501,116.501
32,20364.759134,20364.776628,0.017494,17.494
33,20366.759810,20366.783812,0.024002,24.002
