path,workflow,ttfp_s,latency_p50_ms,latency_p95_ms,fps,throughput_sps,dropped_pct,cpu_avg,cpu_max,rss_avg_mb,rss_max_mb,n_frames,n_param_changes
runs/W3\20250829_183743.csv,W?,0.09399700001813471,54.55669993534684,65.79790008254349,7.170541192423342,392147.0,0.0,15.587209302325581,36.9,265.02906976744185,267.0,433,0
runs/W3\20250829_183918.csv,W?,0.07943530008196831,54.62070007342845,66.25879998318851,7.125063446104279,389192.0,0.0,15.935838150289017,43.8,266.04624277456645,268.0,434,0
runs/W3\20250829_184043.csv,W?,0.07411940000019968,54.74809999577701,72.42730003781617,7.028281354228037,382082.0,0.0,18.003468208092485,58.1,266.05202312138726,268.0,428,0
runs/W3\20250829_184213.csv,W?,0.1117382999509573,54.316299967467785,61.081300023943186,7.1672913823065985,396789.0,0.0,15.065116279069766,41.4,267.0581395348837,270.0,431,0
runs/W3\20250829_184338.csv,W?,0.08427019999362528,51.33630009368062,59.386400040239096,7.1491228618721765,395623.0,0.0,16.127745664739884,47.5,267.0635838150289,270.0,435,0
runs/W3\20250829_184503.csv,W?,0.1163550999481231,56.4198000356555,106.4714000094682,6.6118412985195425,370912.0,0.0,25.373544973544977,68.1,267.06349206349205,270.0,443,0
runs/W3\20250829_184648.csv,W?,0.11321370000950992,54.49715012218803,64.10169997252524,7.031322105677095,394040.5,0.0,15.131176470588237,29.0,267.61176470588236,270.0,422,0
runs/W3\20250829_184808.csv,W?,0.08013550005853176,54.27470011636615,62.210600124672055,7.009901261812057,394827.0,0.0,14.680701754385966,33.6,268.0233918128655,270.0,423,0
runs/W3\20250829_184928.csv,W?,0.0744042000733316,54.657400120049715,65.14309998601675,7.148128280191256,391966.0,0.0,16.039884393063584,70.3,268.0751445086705,271.0,433,0
runs/W3\20250829_185053.csv,W?,0.0797133999876678,55.29309995472431,62.18689982779324,7.198016425105045,390388.0,0.0,15.198295454545455,40.5,269.01704545454544,271.0,444,0
